GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
BERGEN OP ZOOM;BERGEN OP ZOOM;02FY00;Mollerlyceum ;BERGEN OP ZOOM;OMO Scholengroep Bergen op Zoom e.o. voor Lyceum Havo Mavo Vbo Lwoo;Bolwerk-Zuid 168, 4611 DX BERGEN OP ZOOM;Bolwerk-Zuid;168;4611 DX;BERGEN OP ZOOM;Rooms-Katholiek
BERGEN OP ZOOM;BERGEN OP ZOOM;02FY04;ZoomMavo;BERGEN OP ZOOM;"OMO Scholengroep Bergen op Zoom e.o.; ZoomMAVO";Noordzijde Zoom 61, 4613 AB BERGEN OP ZOOM;Noordzijde Zoom;61;4613 AB;BERGEN OP ZOOM;Rooms-Katholiek
BERGEN OP ZOOM;HALSTEREN;02HI00;Steenspil vmbo;BERGEN OP ZOOM;Steenspil  VMBO;Steenspil 46, 4661 TZ HALSTEREN;Steenspil;46;4661 TZ;HALSTEREN;Algemeen bijzonder
BERGEN OP ZOOM;BERGEN OP ZOOM;02HI06;Pomona vmbo;BERGEN OP ZOOM;Steenspil VMBO, locatie Pomona;Pomonalaan 45, 4613 ES BERGEN OP ZOOM;Pomonalaan;45;4613 ES;BERGEN OP ZOOM;Algemeen bijzonder
BERGEN OP ZOOM;BERGEN OP ZOOM;10LU00;RSG 't Rijks;BERGEN OP ZOOM;Regionale Scholengemeenschap 't Rijks School voor Lyceum Havo Mavo;Burg Stulemeijerlaan 24, 4611 EG BERGEN OP ZOOM;Burg Stulemeijerlaan;24;4611 EG;BERGEN OP ZOOM;Openbaar
BERGEN OP ZOOM;BERGEN OP ZOOM;14SW00;Roncalli Scholengemeenschap;BERGEN OP ZOOM;Roncalli Scholengemeenschap voor Ath Havo Mavo;Tuinderspad 6, 4613 CA BERGEN OP ZOOM;Tuinderspad;6;4613 CA;BERGEN OP ZOOM;Samenwerking PC, RK
BERGEN OP ZOOM;BERGEN OP ZOOM;16QN00;RK Gymnasium Juvenaat H. Hart;BERGEN OP ZOOM;Rooms Katholiek Gymnasium Juvenaat Heilig Hart;Pater Dehonlaan 63, 4615 DC BERGEN OP ZOOM;Pater Dehonlaan;63;4615 DC;BERGEN OP ZOOM;Rooms-Katholiek
BERKELLAND;BORCULO;01IC02;AOC Oost;BERKELLAND;AOC Oost;Ruurloseweg 35, 7271 RS BORCULO;Ruurloseweg;35;7271 RS;BORCULO;Algemeen bijzonder
BERKELLAND;#N/B;05FB06;Het Assink lyceum;BERKELLAND;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;Rooms-Katholiek
BERKELLAND;BORCULO;24TF01;Staring College Beukenlaan;BERKELLAND;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;Beukenlaan 1, 7271 JK BORCULO;Beukenlaan;1;7271 JK;BORCULO;Openbaar
BERKELLAND;BORCULO;24TF02;Staring College Herenlaan;BERKELLAND;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;Herenlaan 2, 7271 NR BORCULO;Herenlaan;2;7271 NR;BORCULO;Openbaar
BERNHEZE;HEESWIJK-DINTHER;02DW00;Gymnasium Bernrode;BERNHEZE;Gymnasium Bernrode;Abdijstraat 36, 5473 AG HEESWIJK-DINTHER;Abdijstraat;36;5473 AG;HEESWIJK-DINTHER;Rooms-Katholiek
BERNHEZE;HEESCH;19XH03;Hooghuis Lyceum;BERNHEZE;Hooghuis Lyceum;Schoonstraat 34, 5384 AP HEESCH;Schoonstraat;34;5384 AP;HEESCH;Algemeen bijzonder
BEST;BEST;16RT00;Heerbeeck College;BEST;Voortgezet Onderwijs Best-Oirschot;Willem de Zwijgerweg 150, 5684 SL BEST;Willem de Zwijgerweg;150;5684 SL;BEST;Rooms-Katholiek
BLADEL;BLADEL;03KN00;RK SGM Pius X;BLADEL;Rooms Katholieke SGM Pius X voor Gymnasium Atheneum Havo Mavo Vbo Pro Lwoo;Tuinstraat 1, 5531 GK BLADEL;Tuinstraat;1;5531 GK;BLADEL;Rooms-Katholiek
BOXMEER;BOXMEER;16SW03;Metameer;BOXMEER;Rooms Katholieke Scholengemeenschap METAMEER voor ATH HAVO VMBO LWOO;Stationsweg 5, 5831 CR BOXMEER;Stationsweg;5;5831 CR;BOXMEER;Rooms-Katholiek
BOXMEER;BOXMEER;17HN00;Elzendaalcollege;BOXMEER;Elzendaalcollege Rooms Katholieke Scholengemeenschap voor Lyc Havo Mavo;Bilderbeekstraat 27, 5831 CW BOXMEER;Bilderbeekstraat;27;5831 CW;BOXMEER;Rooms-Katholiek
BOXTEL;BOXTEL;04XU00;Baanderherencollege Vmbo;BOXTEL;Baanderherencollege Vmbo;Baanderherenweg 2, 5282 RJ BOXTEL;Baanderherenweg;2;5282 RJ;BOXTEL;Rooms-Katholiek
BOXTEL;BOXTEL;16RB00;Jacob Roelandslyceum;BOXTEL;Jacob Roelandslyceum;Grote Beemd 3, 5281 CC BOXTEL;Grote Beemd;3;5281 CC;BOXTEL;Rooms-Katholiek
BREDA;BREDA;03AM00;Stedelijk Gymnasium;BREDA;Stedelijk Gymnasium;Nassausingel 7, 4811 DE BREDA;Nassausingel;7;4811 DE;BREDA;Openbaar
BREDA;BREDA;14SZ00;Newmancollege;BREDA;Newmancollege Rooms Katholieke Scholengemeenschap voor Vwo Havo Mavo;Verviersstraat 4, 4826 HT BREDA;Verviersstraat;4;4826 HT;BREDA;Rooms-Katholiek
BREDA;BREDA;16QH01;De Nassau;BREDA;De Nassau Scholengemeenschap voor Gymn Ath Havo Mavo;de la Reijweg 136, 4818 BA BREDA;de la Reijweg;136;4818 BA;BREDA;Protestants-Christelijk
BREDA;BREDA;16RF00;OLV - Breda;BREDA;Onze Lieve Vrouwelyceum - Breda;Paul Windhausenweg 11, 4818 TA BREDA;Paul Windhausenweg;11;4818 TA;BREDA;Rooms-Katholiek
BREDA;BREDA;19XV00;Prisma VO;BREDA;Prisma VO;Tuinzigtlaan 10, 4812 XN BREDA;Tuinzigtlaan;10;4812 XN;BREDA;Openbaar
BREDA;BREDA;19XV01;Graaf Engelbrecht;BREDA;Prisma VO, vestiging Graaf Engelbrecht ath havo mavo;Ganzerik 3, 4822 RK BREDA;Ganzerik;3;4822 RK;BREDA;Openbaar
BREDA;BREDA;19XV02;De Rotonde vmbo;BREDA;Prisma VO, vestiging De Rotonde vmbo;Groene Woud 2, 4834 BC BREDA;Groene Woud;2;4834 BC;BREDA;Openbaar
BREDA;BREDA;25GC00;Markenhage;BREDA;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;Emerweg 29, 4814 NA BREDA;Emerweg;29;4814 NA;BREDA;Rooms-Katholiek
BREDA;BREDA;25GC01;Tessenderlandt;BREDA;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;van Riebeecklaan 2, 4818 EB BREDA;van Riebeecklaan;2;4818 EB;BREDA;Rooms-Katholiek
BREDA;BREDA;25GC02;Mencia de Mendoza;BREDA;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;Mendelssohnlaan 1, 4837 CV BREDA;Mendelssohnlaan;1;4837 CV;BREDA;Rooms-Katholiek
BREDA;BREDA;25GC09;Christoffel;BREDA;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;Rijnesteinstraat 1, 4834 LB BREDA;Rijnesteinstraat;1;4834 LB;BREDA;Rooms-Katholiek
BREDA;PRINSENBEEK;25GC10;Michaël college;BREDA;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;Vijverstraat 1, 4841 AT PRINSENBEEK;Vijverstraat;1;4841 AT;PRINSENBEEK;Rooms-Katholiek
BREDA;TETERINGEN;25LX33;Scala vmbo;BREDA;ROC West-Brabant locatie Scala VMBO;Meulenspie 2, 4847 TK TETERINGEN;Meulenspie;2;4847 TK;TETERINGEN;Samenwerking PC, RK, Alg. Bijz
BREDA;#N/B;28DB00;Orion Lyceum;BREDA;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
BRIELLE;BRIELLE;01OE13;Wellantcollege;BRIELLE;Wellantcollege;Anna-Hoevestraat 2, 3232 VC BRIELLE;Anna-Hoevestraat;2;3232 VC;BRIELLE;Algemeen bijzonder
BRIELLE;BRIELLE;11ZH00;Maerlant;BRIELLE;Scholengemeenschap Maerlant College voor Lyceum Havo Mavo Vbo Lwoo;Hossenbosdijk 14-16, 3232 PX BRIELLE;Hossenbosdijk;14-16;3232 PX;BRIELLE;Openbaar
BRIELLE;BRIELLE;20FR08;PENTA Bahûrim;BRIELLE;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Bahûrim;Mgr Smitstraat 3, 3232 BN BRIELLE;Mgr Smitstraat;3;3232 BN;BRIELLE;Protestants-Christelijk
