"GEMEENTENAAM.VESTIGING";"schoolnaam";"totaal.leerlingen";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"denominatie";"percentage.zittenblijvers";"percentage.opstromers"
"BOXMEER";"Metameer";"1.084";98,1900452488688;6,51131221719457;0;0;0;0;"Rooms-Katholiek";1,2;5,44
"BRONCKHORST";"Ulenhof 't Beeckland";"303";100;6,8843137254902;0;0;0;0;"Protestants-Christelijk";1,65;7,26
"BRONCKHORST";"PC College Ulenhof";"147";96,3414634146341;6,49390243902439;0;0;0;0;"Protestants-Christelijk";2,72;1,36
"CUIJK";"Merletcollege, Grotestraat";"903";93,4426229508197;6,5;85,2459016393443;6,44590163934426;88,8888888888889;6,84074074074074;"Rooms-Katholiek";5,98;4,87
"CUIJK";"Merletcollege, Robijnlaan";"119";97,0588235294118;6,57352941176471;0;0;0;0;"Rooms-Katholiek";0,84;4,2
"CULEMBORG";"Koningin Wilhelmina College";"1.313";89,041095890411;6,56027397260274;81,6091954022989;6,40459770114943;92,9577464788732;6,9112676056338;"Samenwerking PC, RK";3,73;3,05
"CULEMBORG";"Koningin Wilhelmina College, vmbo";"264";100;6,6;0;0;0;0;"Samenwerking PC, RK";0,76;6,06
"CULEMBORG";"Lek en Linge vwo";"961";0;0;0;0;89,6039603960396;6,83514851485148;"Openbaar";3,33;0
"CULEMBORG";"Lek en Linge vmbo";"565";98,8235294117647;6,65117647058824;0;0;0;0;"Openbaar";2,65;2,65
"CULEMBORG";"Lek en Linge havo";"698";0;0;79,0697674418605;6,34790697674419;0;0;"Openbaar";6,45;4,01
"DOETINCHEM";"AOC Oost Lyceum";"621";93,4673366834171;6,4929648241206;0;0;0;0;"Algemeen bijzonder";2,58;2,42
"DOETINCHEM";"Ludger College";"1.265";90,6474820143885;6,5;80,1020408163265;6,39285714285714;88,8888888888889;6,70123456790123;"Samenwerking PC, RK";6,88;3,87
"DOETINCHEM";"Metzo College";"1.263";95,4861111111111;6,53611111111111;0;0;0;0;"Samenwerking PC, RK";5,78;3,33
"DOETINCHEM";"PC College Ulenhof";"1.566";96,0526315789474;6,5;82,089552238806;6,37835820895522;93,4782608695652;6,59021739130435;"Protestants-Christelijk";7,09;2,87
"DOETINCHEM";"Rietveld Lyceum";"1.186";98,8636363636364;6,7;81,7204301075269;6,34623655913979;86,7469879518072;6,65542168674699;"Openbaar";6,49;2,19
"DRUTEN";"Pax Christi College";"1.257";93,2142857142857;6,47928571428571;95;6,468;87,6923076923077;6,60153846153846;"Rooms-Katholiek";7,88;1,91
"DUIVEN";"Candea College";"1.042";95,3020134228188;6,57114093959732;95,3757225433526;6,46127167630058;94,1860465116279;6,61046511627907;"Samenwerking PC, RK";7,1;2,88
"DUIVEN";"Candea College, Saturnus II";"222";97,4576271186441;6,66101694915254;0;0;0;0;"Samenwerking PC, RK";4,5;0,45
"EDE";"AOC Groenhorst";"441";97,1698113207547;6,66698113207547;0;0;0;0;"Samenwerking PC, RK";6,12;3,63
"EDE";"CSG Het Streek";"1.504";95,2380952380952;6,6;92,0289855072464;6,71811594202899;94,6236559139785;7,01182795698925;"Protestants-Christelijk";4,92;2,53
"EDE";"CSG Het Streek Zandlaan";"785";87,7470355731225;6,4802371541502;0;0;0;0;"Protestants-Christelijk";4,2;9,17
