BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
12VI;Nordwin College;01;BUITENPOST;0059;ACHTKARSPELEN;Friesland;397;6;7;12
12VI;Nordwin College;02;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;425;16;4;4
12VI;Nordwin College;08;HEERENVEEN;0074;HEERENVEEN;Friesland;407;20;11;19
12VI;Nordwin College;13;LEEUWARDEN;0080;LEEUWARDEN;Friesland;555;30;7;7
13EE;Regionale Scholengemeenschap Enkhuizen voor MAVO HAVO VWO;00;ENKHUIZEN;0388;ENKHUIZEN;Noord-Holland;1574;113;55;208
13JO;Rsgm Noord Oost Veluwe Ath Havo Mavo Vbo Lwoo;00;EPE;0232;EPE;Gelderland;1115;64;28;47
13OR;Pontes voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo;00;GOES;0664;GOES;Zeeland;1609;166;49;159
13OR;Pontes voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo;01;GOES;0664;GOES;Zeeland;409;14;6;1
13OR;Pontes voor Lyceum Atheneum Havo Mavo Vbo Pro en Lwoo;03;ZIERIKZEE;1676;SCHOUWEN-DUIVELAND;Zeeland;977;56;3;76
13PE;Varendonck College voor Atheneum Gymnasium Havo Vmbo Lwoo Pro;00;ASTEN;0743;ASTEN;Noord-Brabant;1057;95;21;20
13PE;Varendonck College voor Atheneum Gymnasium Havo Vmbo Lwoo Pro;01;SOMEREN;0847;SOMEREN;Noord-Brabant;767;23;18;30
13US;Agrarisch Opleidingen Centrum De Groene Welle;00;ZWOLLE;0193;ZWOLLE;Overijssel;528;12;11;16
13WH;De Goudse Scholengemeenschap voor VMBO-TL, HAVO en VWO Leo Vroman;00;GOUDA;0513;GOUDA;Zuid-Holland;1582;111;61;142
13ZU;Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo;00;GRONINGEN;0014;GRONINGEN;Groningen;913;74;28;163
13ZU;Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo;02;GRONINGEN;0014;GRONINGEN;Groningen;631;4;11;26
13ZU;Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo;03;GRONINGEN;0014;GRONINGEN;Groningen;98;27;1;8
14DC;RSG Simon Vestdijk voor Ath Havo Mavo Vbo;00;HARLINGEN;0072;HARLINGEN;Friesland;1071;88;62;31
14DC;RSG Simon Vestdijk voor Ath Havo Mavo Vbo;02;FRANEKER;1949;WAADHOEKE;Friesland;193;1;6;11
14FW;Openbare Scholengemeenschap Sevenwolden locatie VMBO-Plein;02;HEERENVEEN;0074;HEERENVEEN;Friesland;131;3;1;1
14FW;Openbare Scholengemeenschap Sevenwolden voor Lyc Havo Mavo Vbo;01;HEERENVEEN;0074;HEERENVEEN;Friesland;908;39;60;25
14FW;Openbare Scholengemeenschap Sevenwolden voor Lyc Havo Mavo Vbo;04;JOURE;1940;DE FRYSKE MARREN;Friesland;355;9;24;24
14FW;Openbare Scholengemeenschap Sevenwolden voor Lyc Havo Mavo Vbo;05;GROU;0080;LEEUWARDEN;Friesland;184;4;3;12
14FW;Openbare Scholengroep  voor VMBO, Havo, Atheneum en Gymnasium;00;HEERENVEEN;0074;HEERENVEEN;Friesland;1163;111;35;6
14LF;Jan van Brabant College vestiging Molenstraat;00;HELMOND;0794;HELMOND;Noord-Brabant;1017;109;38;24
14NQ;Dominicus Mavo/Havo/Atheneum/Gymnasium;00;NIJMEGEN;0268;NIJMEGEN;Gelderland;1021;97;27;8
14NS;Christelijke Scholengemeenschap A.M. van Schurman voor Havo Mavo Vbo;00;FRANEKER;1949;WAADHOEKE;Friesland;1132;61;9;97
14OY;Gerrit Rietveld College;00;UTRECHT;0344;UTRECHT;Utrecht;1288;39;23;78
14PS;Bisschop College Broekhin voor Lyceum Havo Mavo Vbo;00;ROERMOND;0957;ROERMOND;Limburg;1553;120;31;76
14PS;Bisschop College Broekhin voor Lyceum Havo Mavo Vbo;02;SWALMEN;0957;ROERMOND;Limburg;223;3;4;5
14PS;Bisschop College Broekhin voor Lyceum Havo Mavo Vbo;03;REUVER;0889;BEESEL;Limburg;305;4;4;31
14QT;Marnix Gymnasium;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;611;39;3;0
14RC;Meerwegen College;00;AMERSFOORT;0307;AMERSFOORT;Utrecht;1438;125;48;26
14RC;Meerwegen College;14;AMERSFOORT;0307;AMERSFOORT;Utrecht;89;40;0;1
14RC;Meerwegen College vestiging Corderius;04;AMERSFOORT;0307;AMERSFOORT;Utrecht;1752;119;47;61
14RC;Meerwegen College vestiging Farel locatie Bunschoten;03;BUNSCHOTEN-SPAKENBURG;0313;BUNSCHOTEN;Utrecht;371;10;25;15
14RC;Meerwegen College vestiging Het Element;06;AMERSFOORT;0307;AMERSFOORT;Utrecht;625;71;20;23
14RF;Scholengemeenschap Oost/Zuidoost voor Lyceum Havo Mavo Vbo Lwoo;08;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;360;50;9;5
14RF;Scholengemeenschap ZAAM  Oost voor Vwo Havo Mavo Vbo Lwoo;03;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;514;7;8;61
14RF;Scholengemeenschap ZAAM  Oost voor Vwo Havo Mavo Vbo Lwoo;04;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;474;33;10;67
14RF;Scholengemeenschap ZAAM  Oost voor Vwo Havo Mavo Vbo Lwoo;06;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;830;43;10;0
14RF;Scholengemeenschap ZAAM Oost voor Vwo  Havo Mavo Vbo Lwoo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;968;90;46;2
14RL;Voorgezet Onderwijs van Amsterdam voor Vbo, Lwoo en Praktijkonderwijs;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;211;8;1;1
14RL;Voortgezet Onderwijs van Amsterdam voor Vbo, Lwoo en Praktijkonderwijs;03;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;186;0;0;0
14RL;Voortgezet Onderwijs van Amsterdam voor Vbo, Lwoo en Praktijkonderwijs;06;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;14;0;0;0
14RP;Christelijke Scholengemeenschap Groningen - locatie Augustinus;01;GRONINGEN;0014;GRONINGEN;Groningen;1285;94;20;197
14RP;Christelijke Scholengemeenschap Groningen - locatie Diamantlaan;03;GRONINGEN;0014;GRONINGEN;Groningen;410;8;0;8
14RP;Christelijke Scholengemeenschap Groningen - locatie Kluiverboom;02;GRONINGEN;0014;GRONINGEN;Groningen;224;9;1;0
14RP;Christelijke Scholengemeenschap Groningen - locatie Rehoboth;05;HOOGEZAND;1952;MIDDEN-GRONINGEN;Groningen;195;13;9;2
14RP;Christelijke Scholengemeenschap Groningen - locatie Winsum;04;WINSUM GN;1966;HET HOGELAND;Groningen;196;9;2;15
14RP;Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum;00;GRONINGEN;0014;GRONINGEN;Groningen;888;96;34;133
14RR;DevelsteinCollege Christelijke Scholengemeenschap voor Voortgezet Onderwijs;00;ZWIJNDRECHT;0642;ZWIJNDRECHT;Zuid-Holland;1466;62;67;39
14RR;DevelsteinCollege Christelijke Scholengemeenschap voor Voortgezet Onderwijs;01;ZWIJNDRECHT;0642;ZWIJNDRECHT;Zuid-Holland;338;11;20;20
14SE;St. Nicolaaslyceum voor havo en vwo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;1206;67;91;8
14SF;Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro;00;GOUDA;0513;GOUDA;Zuid-Holland;720;29;14;17
14SF;Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro;01;GOUDA;0513;GOUDA;Zuid-Holland;1129;76;44;1
14SF;Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro;07;GOUDA;0513;GOUDA;Zuid-Holland;225;5;2;130
14SM;Gooise Scholenfederatie vwo, havo, vmbo;00;BUSSUM;1942;GOOISE MEREN;Noord-Holland;1272;58;42;11
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie A. Roland Holst College;04;HILVERSUM;0402;HILVERSUM;Noord-Holland;910;41;40;39
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie A. Roland Holst College;13;HILVERSUM;0402;HILVERSUM;Noord-Holland;569;23;12;17
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie College De Brink;05;LAREN NH;0417;LAREN;Noord-Holland;800;7;24;49
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie De Fontein;02;BUSSUM;1942;GOOISE MEREN;Noord-Holland;338;9;5;39
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie ISK Het Gooi;14;LAREN NH;0417;LAREN;Noord-Holland;86;19;0;5
14SM;Gooise Scholenfederatie, vwo, havo, vmbo, locatie SG Huizermaat;03;HUIZEN;0406;HUIZEN;Noord-Holland;1251;49;28;50
14SW;Roncalli Scholengemeenschap voor Ath Havo Mavo;00;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Noord-Brabant;1292;94;57;160
14SZ;Newmancollege Rooms Katholieke Scholengemeenschap voor Vwo Havo Mavo;00;BREDA;0758;BREDA;Noord-Brabant;1360;59;76;154
14TA;Christelijk Lyceum Zandvliet voor Lyceum en Havo;00;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;885;71;58;5
14TD;Het Rijnlands Sassenheim Scholengemeenschap voor Atheneum Havo Mavo;00;SASSENHEIM;1525;TEYLINGEN;Zuid-Holland;1498;94;54;167
14UM;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;00;SILVOLDE;1509;OUDE IJSSELSTREEK;Gelderland;1043;69;34;2
14UM;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;01;SILVOLDE;1509;OUDE IJSSELSTREEK;Gelderland;516;18;0;55
14UM;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;02;ULFT;1509;OUDE IJSSELSTREEK;Gelderland;781;14;17;35
14VG;Alkwin Kollege Rooms Katholieke Scholengemeenschap voor Vwo en Havo;00;UITHOORN;0451;UITHOORN;Noord-Holland;1548;97;20;6
14VY;Chr Sgm Buitenveldert v Gymn Ath Havo en Mavo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;771;33;9;89
14WE;S. Adelbert College voor Lyceum Havo en Mavo;00;WASSENAAR;0629;WASSENAAR;Zuid-Holland;1163;49;54;144
14WI;Christelijk Gymnasium Beyers Naude;00;LEEUWARDEN;0080;LEEUWARDEN;Friesland;517;28;1;0
14WJ;Het Vlietland College Scholengemeenschap voor Vwo Havo Mavo;00;LEIDEN;0546;LEIDEN;Zuid-Holland;986;44;52;162
14WL;Krimpenerwaard College voor Lyceum Havo Mavo;00;KRIMPEN AAN DEN IJSSEL;0542;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;1136;90;61;124
14YD;Lentiz locatie Dalton Mavo;09;NAALDWIJK;1783;WESTLAND;Zuid-Holland;841;17;4;36
14YD;Lentiz locatie Floracollege;03;NAALDWIJK;1783;WESTLAND;Zuid-Holland;841;14;17;7
14YD;Lentiz VMBO Maasland;06;MAASLAND;1842;MIDDEN-DELFLAND;Zuid-Holland;538;14;3;2
15BH;Chr SGM Groene Hart Lyceum voor vwo, havo, mavo, vmbo, lwoo;01;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;1330;87;50;8
15BH;Chr SGM Groene Hart voor vwo, havo, mavo, lwoo;00;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;754;38;15;18
15BH;Chr SGM Groene Hart voor vwo, havo, mavo, vmbo, lwoo vest. Rijnwoude;04;HAZERSWOUDE-DORP;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;377;7;24;11
15BH;Chr SGM Groene Hart voor vwo, havo, mavo, vmbo, lwoo vest. Topmavo;05;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;760;30;36;91
15BS;Sondervick College RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;00;VELDHOVEN;0861;VELDHOVEN;Noord-Brabant;2090;143;103;70
15EO;Openbare Scholengemeenschap Libanon Lyceum voor VWO HAVO MAVO;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;762;83;1;26
15EO;Openbare Scholengemeenschap Libanon Lyceum voor VWO HAVO MAVOHavo Mavo;01;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;659;15;47;17
15HX;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;629;53;26;2
15HX;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;02;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;364;11;6;4
15HX;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;03;NIEUWERKERK AD IJSSEL;1892;ZUIDPLAS;Zuid-Holland;392;26;16;44
15HX;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;07;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;214;11;7;3
15JM;Utrechts Stedelijk Gymnasium, openbare school voor vwo;00;UTRECHT;0344;UTRECHT;Utrecht;916;29;2;0
15KR;Wolfert van Borselen scholengroep;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;1267;145;24;9
15KR;Wolfert van Borselen Scholengroep;05;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;718;56;31;21
15KR;Wolfert van Borselen Scholengroep;06;BERGSCHENHOEK;1621;LANSINGERLAND;Zuid-Holland;956;46;31;4
15KR;Wolfert van Borselen Scholengroep;09;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;145;79;0;40
15KR;Wolfert van Borselen Scholengroep;10;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;577;43;20;45
15KR;Wolfert van Borselen Scholengroep;11;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;226;11;0;46
15KR;Wolfert van Borselen Scholengroep;12;BERGSCHENHOEK;1621;LANSINGERLAND;Zuid-Holland;334;21;0;2
15KR;Wolfert van Borselen Scholengroep;13;BERGSCHENHOEK;1621;LANSINGERLAND;Zuid-Holland;40;0;0;0
15KR;Wolfert van Borselen scholengroep;14;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;114;6;0;0
15OM;Het Schoonhovens College;00;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;917;47;20;34
15OM;Het Schoonhovens College;01;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;483;5;0;3
15QW;Regionale Scholengemeenschap Goeree-Overflakkee voor Vwo Havo Mavo Vmbo;00;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;1179;77;19;204
15SC;Erasmianum Gemeente Gymnasium;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;1177;41;17;0
15VQ;Stellingwerf College;00;OOSTERWOLDE FR;0085;OOSTSTELLINGWERF;Friesland;1300;61;35;40
15XV;Regionale Scholengemeenschap Hoeksche Waard;00;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;1247;79;56;34
15XV;Regionale Scholengemeenschap Hoeksche Waard;01;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;491;10;23;14
16AW;Openbare Scholengemeenschap Echnaton;00;ALMERE;0034;ALMERE;Flevoland;1239;89;51;50
16AW;Openbare Scholengemeenschap Echnaton;06;ALMERE;0034;ALMERE;Flevoland;180;47;0;7
16AW;Openbare Scholengemeenschap Echnaton locatie Helen Parkhurst;01;ALMERE;0034;ALMERE;Flevoland;2141;251;88;33
16CX;Regius College Schagen voor Gym, Ath, Havo, Vmbo tl, Vmbo basis/kader;00;SCHAGEN;0441;SCHAGEN;Noord-Holland;1706;134;84;32
16CX;Regius College Schagen voor Gym, Ath, Havo, Vmbotl. Vmbo basis/kader;04;SCHAGEN;0441;SCHAGEN;Noord-Holland;570;22;14;27
16CX;Regius College Schagen voor Gym, Havo, Vmbo tl, Vmbo basis/kader;08;SCHAGEN;0441;SCHAGEN;Noord-Holland;709;61;39;27
16CX;Regius College Schagen voor Gym, Havo, Vmbo tl, VMBO basis/kader;09;SCHAGEN;0441;SCHAGEN;Noord-Holland;152;1;0;8
16EI;Lyceum Schravenlant voor Atheneum en Havo;00;SCHIEDAM;0606;SCHIEDAM;Zuid-Holland;639;68;43;6
16FP;Regionale Scholengemeenschap Magister Alvinus voor Vwo Havo Mavo Vbo;00;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;1900;151;81;63
16FP;Regionale Scholengemeenschap Magister Alvinus voor Vwo Havo Mavo Vbo;04;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;88;5;0;4
16FP;Regionale Scholengemeenschap Magister Alvinus voor Vwo Havo Mavo Vbo locatie ISK;05;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;113;54;0;3
16GZ;Regionale Scholengemeenschap Tromp Meesters voor Lyc Havo Mavo Vbo Lwoo;00;STEENWIJK;1708;STEENWIJKERLAND;Overijssel;1247;93;53;65
16GZ;Regionale Scholengemeenschap Tromp Meesters voor Lyc Havo mavo Vbo Lwoo;01;STEENWIJK;1708;STEENWIJKERLAND;Overijssel;129;3;11;2
16GZ;Regionale Scholengemeenschap Tromp Meesters voor Lyc Havo Mavo Vbo Lwoo;03;STEENWIJK;1708;STEENWIJKERLAND;Overijssel;76;22;1;5
16IH;Regionale Scholengemeenschap Ter Apel voor Ath Havo Mavo Lhno;00;TER APEL;1950;WESTERWOLDE;Groningen;1042;72;34;47
16IH;Regionale Scholengemeenschap Ter Apel voor Ath Havo Mavo Lhno;03;TER APEL;1950;WESTERWOLDE;Groningen;97;35;0;2
16JO;Stedelijke Scholengemeenschap De Rede voor Lyc Havo Mavo Vbo Lwoo;00;TERNEUZEN;0715;TERNEUZEN;Zeeland;985;100;26;97
16KP;Openbare Scholengemeensschap Texel voor Ath Havo Mavo Vbo Lwoo;00;DEN BURG;0448;TEXEL;Noord-Holland;825;81;25;47
16MQ;Koning Willem II College voor Lyc Havo Mavo;00;TILBURG;0855;TILBURG;Noord-Brabant;1578;116;35;345
16NK;Vrije school Zutphen-Groningen;00;ZUTPHEN;0301;ZUTPHEN;Gelderland;1222;138;7;168
16NK;Vrije school Zutphen-Groningen;01;GRONINGEN;0014;GRONINGEN;Groningen;889;78;6;197
16OX;2College voor Lyceum Havo Mavo Vbo;00;OISTERWIJK;0824;OISTERWIJK;Noord-Brabant;1568;78;55;43
16OX;2College voor Lyceum Havo Mavo Vbo;11;OISTERWIJK;0824;OISTERWIJK;Noord-Brabant;173;7;19;4
16OX;2College voor Lyceum Havo Mavo Vbo locatie Cobbenhagenlyceum;02;TILBURG;0855;TILBURG;Noord-Brabant;594;42;15;3
16OX;2College voor Lyceum Havo Mavo Vbo locatie Cobbenhagenmavo;10;TILBURG;0855;TILBURG;Noord-Brabant;336;19;3;18
16OX;2College voor Lyceum Havo Mavo Vbo locatie EOA Oisterwijk;09;OISTERWIJK;0824;OISTERWIJK;Noord-Brabant;86;34;0;1
16OX;2College voor Lyceum Havo Mavo Vbo locatie Jozefmavo;04;TILBURG;0855;TILBURG;Noord-Brabant;558;49;5;14
16OX;2College voor Lyceum Havo Mavo Vbo locatie Ruivenmavo;03;BERKEL-ENSCHOT;0855;TILBURG;Noord-Brabant;386;23;2;18
16OX;2College voorLyceum Havo Mavo Vbo locatie De Nieuwste School;01;TILBURG;0855;TILBURG;Noord-Brabant;803;43;5;114
16PA;Christelijk Gymnasium;00;UTRECHT;0344;UTRECHT;Utrecht;971;35;2;0
16PE;Connect College;01;ECHT;1711;ECHT-SUSTEREN;Limburg;592;31;11;29
16PE;Connect College voor vwo havo mavo vbo en lwoo;00;ECHT;1711;ECHT-SUSTEREN;Limburg;833;30;29;40
16PI;Openbare Scholengemeenschap Winkler Prins voor ATH HAVO MAVO VBO LWOO;00;VEENDAM;0047;VEENDAM;Groningen;730;37;26;125
16PI;Openbare Scholengemeenschap Winkler Prins voor ATH HAVO MAVO VBO LWOO;01;VEENDAM;0047;VEENDAM;Groningen;815;84;40;9
16PI;Openbare Scholengemeenschap Winkler Prins voor ATH HAVO MAVO VBO LWOO;03;VEENDAM;0047;VEENDAM;Groningen;300;3;0;1
16PK;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;1197;131;42;112
16PK;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Juliana;07;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;412;11;4;7
16PK;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Meerpaal;08;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;547;78;7;5
16PK;Calvijn Christelijke SGM voor vwo havo mavo vmbo lwoo loc. Business School;10;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;360;34;5;35
16PK;Calvijn Christelijke SGM voor vwo havo mavo vmbo lwoo loc. Zuidermavo;05;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;348;18;0;14
16PN;Joodse Scholengemeenschap Maimonides voor Ath Mavo En Afd Havo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;156;8;0;25
16PS;Montessori Scholengemeenschap Amsterdam locatie Metis Montessori Lyceum;07;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;693;85;31;6
16PS;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;1593;70;34;18
16PS;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;04;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;437;37;7;32
16PS;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;08;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;819;109;20;59
16PS;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;16;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;206;23;1;19
16PS;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;17;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;358;27;6;62
16QA;Christelijke Scholengemeenschap De Lage Waard voor Ath Havo Mavo Vbo Lwoo;00;PAPENDRECHT;0590;PAPENDRECHT;Zuid-Holland;1187;64;40;9
16QA;Christelijke Scholengemeenschap De Lage Waard voor Ath Havo Mavo Vbo Lwoo;01;PAPENDRECHT;0590;PAPENDRECHT;Zuid-Holland;839;20;6;29
16QH;De Nassa, Scholengemeenschap voor Gymn Ath Havo Mavo;00;BREDA;0758;BREDA;Noord-Brabant;466;26;10;27
16QH;De Nassau Scholengemeenschap voor Gymn Ath Havo Mavo;01;BREDA;0758;BREDA;Noord-Brabant;1282;71;31;149
16QN;Rooms Katholiek Gymnasium Juvenaat Heilig Hart;00;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Noord-Brabant;409;36;4;0
16RB;Jacob-Roelandslyceum;00;BOXTEL;0757;BOXTEL;Noord-Brabant;1406;96;71;4
16RF;Onze Lieve Vrouwelyceum - Breda;00;BREDA;0758;BREDA;Noord-Brabant;1577;116;65;2
16RH;Het Rijnlands Lyc Scholengemeenschap Vwo Havo;00;OEGSTGEEST;0579;OEGSTGEEST;Zuid-Holland;1372;65;7;53
16RT;Voortgezet Onderwijs Best-Oirschot;00;BEST;0753;BEST;Noord-Brabant;2083;79;154;57
16RT;Voortgezet Onderwijs Best-Oirschot locatie Kempenhorst VMBO College;01;OIRSCHOT;0823;OIRSCHOT;Noord-Brabant;1079;26;18;17
16SK;Liemers College Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;01;DIDAM;1955;MONTFERLAND;Gelderland;504;25;37;43
16SK;Liemers College SGM voor LYC HAVO MAVO VBO LWOO;00;ZEVENAAR;0299;ZEVENAAR;Gelderland;836;84;32;7
16SK;Liemers College SGM voor LYC HAVO MAVO VBO LWOO;05;ZEVENAAR;0299;ZEVENAAR;Gelderland;523;9;5;6
16SK;Liemers College SGM voor Lyc Havo Mavo Vbo Lwoo;07;ZEVENAAR;0299;ZEVENAAR;Gelderland;887;49;44;105
16SL;Sint-Janscollege voor Vwo Havo;00;HOENSBROEK;0917;HEERLEN;Limburg;1319;86;68;3
16ST;Berger Scholengemeenschap voor vwo havo en mavo;00;BERGEN NH;0373;BERGEN NH;Noord-Holland;1010;78;6;85
16SW;Rooms Katholieke Scholengemeenschap METAMEER voor ATH HAVO VMBO LWOO;00;STEVENSBEEK;1702;SINT ANTHONIS;Noord-Brabant;865;66;26;18
16SW;Rooms Katholieke Scholengemeenschap METAMEER voor ATH HAVO VMBO LWOO;03;BOXMEER;0756;BOXMEER;Noord-Brabant;1042;16;38;27
16SW;Rooms katholieke Scholengemeenschap METAMEER voor ATH HAVO VMBO LWOO;05;STEVENSBEEK;1702;SINT ANTHONIS;Noord-Brabant;340;3;2;8
16TS;Vrije School Noord Holland voor Atheneum Havo Mavo;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;882;97;14;42
16TS;Vrije School Noord Holland voor Atheneum Havo Mavo;02;HAARLEM;0392;HAARLEM;Noord-Holland;920;134;5;9
16TS;Vrije School Noord-Holland;03;BERGEN NH;0373;BERGEN NH;Noord-Holland;894;106;7;62
16TV;Vrije School Zuid-Holland voor Atheneum Havo Mavo;00;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;805;73;6;40
16TV;Vrije School Zuid-Holland voor Atheneum Havo Mavo;01;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;910;49;14;63
16TV;Vrije School Zuid-Holland voor Atheneum Havo Mavo;02;LEIDEN;0546;LEIDEN;Zuid-Holland;545;38;11;26
16VI;R.K. Scholengemeenschap  Canisius voor vmbo havo vwo;00;ALMELO;0141;ALMELO;Overijssel;1074;45;58;53
16VI;R.K. Scholengemeenschap Canisius voor vmbo havo vwo;01;TUBBERGEN;0183;TUBBERGEN;Overijssel;726;6;42;76
16VK;OMO Scholengr. De Langstraat Rk Sgm V Lyc Havo Mavo Vbo;01;KAATSHEUVEL;0809;LOON OP ZAND;Noord-Brabant;311;14;9;3
16VK;OMO Scholengroep De Langstraat;00;WAALWIJK;0867;WAALWIJK;Noord-Brabant;1259;81;43;32
16VK;OMO Scholengroep De Langstraat;02;WAALWIJK;0867;WAALWIJK;Noord-Brabant;657;19;8;17
16VK;OMO Scholengroep De Langstraat;03;DRUNEN;0797;HEUSDEN;Noord-Brabant;1119;87;53;109
16VM;Herlecollege Scholengemeenschap voor Vmbo;00;HEERLEN;0917;HEERLEN;Limburg;476;17;3;58
16VM;Herlecollege Scholengemeenschap voor Vmbo;07;HEERLEN;0917;HEERLEN;Limburg;175;2;1;1
16VP;Hondsrug College Christelijke SGM voor LYC HAVO MAVO VBO LWOO;00;EMMEN;0114;EMMEN;Drenthe;2026;127;77;46
16XD;College Den Hulster Scholengemeenschap voor ATH HAVO MAVO VBO LWOO;00;VENLO;0983;VENLO;Limburg;1419;83;47;178
16YC;Scheldemond College;00;VLISSINGEN;0718;VLISSINGEN;Zeeland;1163;50;60;26
