BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
02VT;Agnieten College locatie Meander voor Lyceum Havo Mavo Vbo Lwoo;05;ZWOLLE;0193;ZWOLLE;Overijssel;1150;34;48;26
02VT;Agnieten College locatie Talentstad voor Lyceum Havo Mavo Vbo Lwoo;02;ZWOLLE;0193;ZWOLLE;Overijssel;638;15;16;25
02VT;Agnieten College Nieuwleusen voor Lyceum Havo Mavo Vbo Lwoo;04;NIEUWLEUSEN;0148;DALFSEN;Overijssel;229;4;14;5
02VT;Agnieten College voor Lyceum Havo Mavo Vbo Lwoo;00;ZWOLLE;0193;ZWOLLE;Overijssel;1615;94;69;51
02VT;Agnieten College Wezep voor Lyceum Havo Mavo Vbo Lwoo;06;WEZEP;0269;OLDEBROEK;Gelderland;298;7;26;17
02VT;Agnieten College Zwartsluis voor Lyceum Havo Mavo Vbo Lwoo;01;ZWARTSLUIS;1896;ZWARTEWATERLAND;Overijssel;684;27;54;17
02XE;School voor Christelijk Mavo De Saad;00;DAMWALD;1891;DANTUMADIEL;Friesland;340;14;2;25
02XJ;Reggesteijn Christelijke Scholengemeenschap voor Pro-Vmbo-Havo-Atheneum-Gymnasiu;01;NIJVERDAL;0163;HELLENDOORN;Overijssel;420;7;22;14
02XJ;Reggesteijn Christelijke Scholengemeenschap voor Pro-Vmbo-Havo-Atheneum-Gymnasiu;02;RIJSSEN;1742;RIJSSEN-HOLTEN;Overijssel;1160;35;75;10
02XJ;Reggesteyn Christelijke Scholengemeenschap voor Pro-Vmbo-Havo-Atheneum-Gymnasiu;00;NIJVERDAL;0163;HELLENDOORN;Overijssel;1117;89;74;28
02XQ;Inspecteur Boelensschool voor Mavo;00;SCHIERMONNIKOOG;0088;SCHIERMONNIKOOG;Friesland;34;0;0;1
02XS;Altena College Christelijke Scholengemeenschap voor Atheneum Havo en Mavo;00;SLEEUWIJK;1959;ALTENA;Noord-Brabant;1274;60;32;47
02YH;Montessori College voor Mavo Aerdenhout;00;AERDENHOUT;0377;BLOEMENDAAL;Noord-Holland;415;9;6;36
02ZC;Gymnasium voor het Bernardinuscollege;00;HEERLEN;0917;HEERLEN;Limburg;316;22;1;0
02ZR;Het College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo loc. Het Kwadrant;03;WEERT;0988;WEERT;Limburg;107;0;0;0
02ZR;Het College voor Lyc Havo Mavo Vbo lwoo;00;WEERT;0988;WEERT;Limburg;1190;52;64;30
02ZR;Het College voor Lyc Havo Mavo Vbo lwoo;06;WEERT;0988;WEERT;Limburg;129;39;0;14
02ZR;Het College voor Lyceum Havo Mavo Vbo Lwoo locatie Bravo College;02;BUDEL;1706;CRANENDONCK;Noord-Brabant;301;6;28;10
03AM;Stedelijk Gymnasium;00;BREDA;0758;BREDA;Noord-Brabant;1006;64;14;0
03AQ;Open Sgm Bylmer Vath Havo Mavo Lhno Lto Leao;00;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;1547;67;41;180
03FO;CVO 't Gooi  voor Lyc Havo VMBO Lwoo;00;HILVERSUM;0402;HILVERSUM;Noord-Holland;1558;123;34;61
03FO;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;01;HILVERSUM;0402;HILVERSUM;Noord-Holland;446;9;29;24
03FO;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;02;HILVERSUM;0402;HILVERSUM;Noord-Holland;246;16;0;22
03FO;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;04;HILVERSUM;0402;HILVERSUM;Noord-Holland;184;19;1;9
03JY;Calvijn College voor Reformatorisch Atheneum Havo Mavo Vbo Lwoo;01;MIDDELBURG;0687;MIDDELBURG;Zeeland;386;16;19;7
03JY;Calvijn College voor Reformatorisch Atheneum Havo Mavo Vbo Lwoo;02;KRABBENDIJKE;0703;REIMERSWAAL;Zeeland;353;4;4;1
03JY;Calvijn College voor Reformatorisch Atheneum Havo Mavo Vbo Lwoo;03;THOLEN;0716;THOLEN;Zeeland;302;3;22;4
03JY;Calvijn College voor Reformatorisch Vmbo Havo Vwo;00;GOES;0664;GOES;Zeeland;1246;43;81;4
03JY;Calvijn College voor Reformatorisch Vmbo Havo Vwo;06;KRABBENDIJKE;0703;REIMERSWAAL;Zeeland;444;6;56;5
03JY;Calvijn College voor Reformatorisch Vmbo Havo Vwo;07;GOES;0664;GOES;Zeeland;99;1;6;2
03JY;Calvijn College voor Reformatorisch Vmbo Havo Vwo;08;GOES;0664;GOES;Zeeland;242;7;14;5
03KN;Rooms Katholieke SGM Pius X voor Gymnasium Atheneum Havo Mavo Vbo Pro Lwoo;00;BLADEL;1728;BLADEL;Noord-Brabant;2079;109;110;29
03OY;Niftarlake College Christelijke Scholengemeenschap voor Atheneum Havo Mavo;00;MAARSSEN;1904;STICHTSE VECHT;Utrecht;1640;109;30;45
03RB;Christelijke Scholengemeenschap voor Vwo Havo Mavo Vmbo Pro Lwoo Prins Maurits;00;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;1437;34;88;23
03RR;Candea College Atheneum Havo Mavo Vmbo;00;DUIVEN;0226;DUIVEN;Gelderland;1157;69;18;175
03RR;Candea College Atheneum Havo Mavo Vmbo;04;DUIVEN;0226;DUIVEN;Gelderland;878;31;9;20
03RU;Herbert Vissers College Christelijke Scholengemeenschap voor Lyceu Havo Mavo Vbo;00;NIEUW-VENNEP;0394;HAARLEMMERMEER;Noord-Holland;1774;113;47;82
03WO;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;00;AMERSFOORT;0307;AMERSFOORT;Utrecht;1194;47;57;15
03WO;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;01;HOEVELAKEN;0267;NIJKERK;Gelderland;716;19;4;4
03WO;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;02;KESTEREN;1740;NEDER-BETUWE;Gelderland;1083;12;47;17
03WO;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;03;BARNEVELD;0203;BARNEVELD;Gelderland;860;11;64;77
03XF;Mundium College SGM v LYC HAVO MAVO LWOO locatie  Niekée;04;ROERMOND;0957;ROERMOND;Limburg;548;20;17;65
03XF;Mundium College SGM v LYC HAVO MAVO LWOO locatie Havo Roermond;03;ROERMOND;0957;ROERMOND;Limburg;416;37;10;24
03XF;Mundium College SGM v LYC HAVO MAVO LWOO locatie NT-2;05;ROERMOND;0957;ROERMOND;Limburg;343;153;0;7
03XF;Mundium College voor vwo, havo, mavo, vbo en lwoo;00;ROERMOND;0957;ROERMOND;Limburg;1254;107;60;11
03XM;Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum;00;MEPPEL;0119;MEPPEL;Drenthe;1262;119;54;24
03XS;Christelijke Scholengemeenschap Walcheren voor Lyceum Havo Mavo Vbo Lwoo;00;MIDDELBURG;0687;MIDDELBURG;Zeeland;1451;62;58;74
03XS;Christelijke Scholengemeenschap Walcheren voor Lyceum Havo Mavo Vbo Lwoo;02;MIDDELBURG;0687;MIDDELBURG;Zeeland;447;47;9;24
03XS;Christelijke Scholengemeenschap Walcheren voor Lyceum Havo Mavo Vbo Lwoo;03;VLISSINGEN;0718;VLISSINGEN;Zeeland;328;13;30;12
04DF;Ashram College Rooms Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo;00;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;1524;124;9;220
04DF;Ashram College Rooms Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo;01;NIEUWKOOP;0569;NIEUWKOOP;Zuid-Holland;355;8;2;15
04DS;Gymnasium van de Trevianum Scholengroep;00;SITTARD;1883;SITTARD-GELEEN;Limburg;493;18;5;0
04GU;Elde College Schijndel voor VWO HAVO VMBO LWOO en PRO;00;SCHIJNDEL;1948;MEIERIJSTAD;Noord-Brabant;1788;80;46;42
04GU;Elde College Schijndel voor VWO HAVO VMBO LWOO en PRO;03;SINT-MICHIELSGESTEL;0845;SINT-MICHIELSGESTEL;Noord-Brabant;412;21;16;27
04HR;Openbare Scholengemeenschap Erasmus Lyceum Havo Mavo Vbo Lwoo;00;ALMELO;0141;ALMELO;Overijssel;1179;50;121;57
04HR;Openbare Scholengemeenschap Erasmus Lyceum Havo Mavo Vbo Lwoo;04;ALMELO;0141;ALMELO;Overijssel;595;21;1;39
