VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;Plaats;Gemeente;DENOMINATIE
15BH01;Chr Sgm Groene Hart Lyceum;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;Protestants-Christelijk
15BH04;Chr Sgm Groene Hart Rijnwoude;HAZERSWOUDE-DORP;ALPHEN AAN DEN RIJN;Protestants-Christelijk
15BH05;Chr Sgm Groene Hart Topmavo;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;Protestants-Christelijk
15BS00;Sondervick College;VELDHOVEN;VELDHOVEN;Rooms-Katholiek
15EO00;OSG Libanon Lyceum;ROTTERDAM;ROTTERDAM;Openbaar
15HX00;Thorbecke Prinsenlaan;ROTTERDAM;ROTTERDAM;Openbaar
15HX02;Thorbecke vmbo mavo;ROTTERDAM;ROTTERDAM;Openbaar
15HX03;Thorbecke VO;NIEUWERKERK AD IJSSEL;ZUIDPLAS;Openbaar
15HX07;Thorbecke Merkelbackstr;ROTTERDAM;ROTTERDAM;Openbaar
15JM00;Utrechts Stedelijk Gymnasium;UTRECHT;UTRECHT;Openbaar
15KR00;Wolfert havo/vwo;ROTTERDAM;ROTTERDAM;Openbaar
15KR05;Wolfert Dalton ;ROTTERDAM;ROTTERDAM;Openbaar
15KR06;Sg Wolfert van Borselen;BERGSCHENHOEK;LANSINGERLAND;Openbaar
15KR10;Wolfert College;ROTTERDAM;ROTTERDAM;Openbaar
15KR12;Wolfert PRO;BERGSCHENHOEK;LANSINGERLAND;Openbaar
15OM00;Het Schoonhovens College;SCHOONHOVEN;KRIMPENERWAARD;Openbaar
15OM01;Het Schoonhovens College, Vlisterweg;SCHOONHOVEN;KRIMPENERWAARD;Openbaar
15QW00;RGO;MIDDELHARNIS;GOEREE-OVERFLAKKEE;Openbaar
15SC00;Erasmianum Gem Gymnasium;ROTTERDAM;ROTTERDAM;Openbaar
15XV00;Hoeksch Lyceum;OUD-BEIJERLAND;OUD-BEIJERLAND;Openbaar
15XV01;Actiefcollege;OUD-BEIJERLAND;OUD-BEIJERLAND;Openbaar
16EI00;Lyceum Schravenlant;SCHIEDAM;SCHIEDAM;Openbaar
16GZ00;RSG Tromp Meesters;STEENWIJK;STEENWIJKERLAND;Openbaar
16GZ01;RSG Tromp Meesters vmbo;STEENWIJK;STEENWIJKERLAND;Openbaar
16JO00;SSG De Rede;TERNEUZEN;TERNEUZEN;Openbaar
16MQ00;Kon Willem II College;TILBURG;TILBURG;Openbaar
16NK00;Vrije School Zutphen;ZUTPHEN;ZUTPHEN;Antroposofisch
16OX00;2College Durendael;OISTERWIJK;OISTERWIJK;Rooms-Katholiek
16OX01;2College De Nieuwste School;TILBURG;TILBURG;Rooms-Katholiek
16OX02;2College Cobbenhagenlyceum;TILBURG;TILBURG;Rooms-Katholiek
16OX03;2College Ruiven;BERKEL-ENSCHOT;TILBURG;Rooms-Katholiek
16OX04;2College Jozefmavo;TILBURG;TILBURG;Rooms-Katholiek
16OX10;2College Cobbenhagenmavo;TILBURG;TILBURG;Rooms-Katholiek
16PA00;Chr Gymnasium;UTRECHT;UTRECHT;Protestants-Christelijk
16PK00;Calvijn Vreewijk;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
16PK04;Calvijn Focus Beroepsacademie;BARENDRECHT;BARENDRECHT;Protestants-Christelijk
16PK05;Calvijn Lombardijen;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
16PK07;Calvijn Juliana;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
16PK08;Calvijn Meerpaal;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
16PK09;Calvijn Groene Hart;BARENDRECHT;BARENDRECHT;Protestants-Christelijk
16PK10;Calvijn Maarten Luther;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
16QA00;De Lage Waard, Vijzellaan;PAPENDRECHT;PAPENDRECHT;Protestants-Christelijk
16QA01;De Lage Waard, Burg Keijzerweg;PAPENDRECHT;PAPENDRECHT;Protestants-Christelijk
16QH00;De Nassau, loc. Paul Krugerlaan;BREDA;BREDA;Protestants-Christelijk
16QH01;De Nassau, loc. De la Reijweg;BREDA;BREDA;Protestants-Christelijk
16QN00;RK Gymnasium Juvenaat H. Hart;BERGEN OP ZOOM;BERGEN OP ZOOM;Rooms-Katholiek
16RB00;Jacob Roelandslyceum;BOXTEL;BOXTEL;Rooms-Katholiek
16RF00;OLV - Breda;BREDA;BREDA;Rooms-Katholiek
16RT00;Heerbeeck College;BEST;BEST;Rooms-Katholiek
16RT01;Kempenhorst VMBO College;OIRSCHOT;OIRSCHOT;Rooms-Katholiek
16SK00;Liemers College, loc. Heerenmäten;ZEVENAAR;ZEVENAAR;Samenwerking PC, RK
16SK01;Liemers College;DIDAM;MONTFERLAND;Samenwerking PC, RK
16SK05;Liemers College, loc. Landeweer;ZEVENAAR;ZEVENAAR;Samenwerking PC, RK
16SW00;Metameer Stevensbeek;STEVENSBEEK;SINT ANTHONIS;Rooms-Katholiek
16SW03;Metameer;BOXMEER;BOXMEER;Rooms-Katholiek
16SW05;Metameer vmbo Stevensbeek;STEVENSBEEK;SINT ANTHONIS;Rooms-Katholiek
16TV00;De Vrije School;'S-GRAVENHAGE;S GRAVENHAGE;Antroposofisch
16TV01;Rudolf Steiner College;ROTTERDAM;ROTTERDAM;Antroposofisch
16VI00;RK SGM Canisius;ALMELO;ALMELO;Rooms-Katholiek
16VI01;Canisius Tubbergen;TUBBERGEN;TUBBERGEN;Rooms-Katholiek
16VK00;Dr. Mollercollege;WAALWIJK;WAALWIJK;Rooms-Katholiek
16VK01;Van Haestrechtcollege;KAATSHEUVEL;LOON OP ZAND;Rooms-Katholiek
16VK02;Walewyc-mavo;WAALWIJK;WAALWIJK;Rooms-Katholiek
16VK03;d' Oultremontcollege;DRUNEN;HEUSDEN;Rooms-Katholiek
16YC00;Scheldemond College;VLISSINGEN;VLISSINGEN;Openbaar
16YV00;Pantarijn SGM;WAGENINGEN;WAGENINGEN;Openbaar
16YV01;Pantarijn vmbo;WAGENINGEN;WAGENINGEN;Openbaar
16YV02;Pantarijn SGM;RHENEN;RHENEN;Openbaar
16YV04;Pantarijn SGM;KESTEREN;NEDER-BETUWE;Openbaar
17AA00;Gerrit Komrij College;WINTERSWIJK;WINTERSWIJK;Openbaar
17AN00;Minkema College, loc. Mink;WOERDEN;WOERDEN;Openbaar
17AN01;Minkema College, loc. Stein;WOERDEN;WOERDEN;Openbaar
17AY00;Cambium Buys Ballot;ZALTBOMMEL;ZALTBOMMEL;Openbaar
17AY04;Cambium De Waard;ZALTBOMMEL;ZALTBOMMEL;Openbaar
17BI00;OSG Schoonoord;ZEIST;ZEIST;Openbaar
17BI02;Schoonoord Doorn ;DOORN;UTRECHTSE HEUVELRUG;Openbaar
17BZ00;Van Der Capellen;ZWOLLE;ZWOLLE;Openbaar
17BZ02;De Capellenborg;WIJHE;OLST-WIJHE;Openbaar
17BZ03;Van Kinsbergen college;ELBURG;ELBURG;Openbaar
17BZ04;De Zeven Linden;DEDEMSVAART;HARDENBERG;Openbaar
17CK00;RSG Slingerbos/Levant;HARDERWIJK;HARDERWIJK;Openbaar
17CK01;Reg Sgm 't Slingerbos;ZEEWOLDE;ZEEWOLDE;Openbaar
17CR00;Einstein Lyceum;HOOGVLIET ROTTERDAM;ROTTERDAM;Openbaar
17GM00;Oosterlicht College;NIEUWEGEIN;NIEUWEGEIN;Protestants-Christelijk
17GM02;Oosterlicht College;VIANEN UT;VIANEN;Protestants-Christelijk
17HN00;Elzendaalcollege;BOXMEER;BOXMEER;Rooms-Katholiek
17HN02;Elzendaalcollege;GENNEP;GENNEP;Rooms-Katholiek
17HR00;Hofstad mavo;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
17HR02;Hofstad lyceum;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
17HR05;Heldring VMBO;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
17HX00;Rientjes Mavo Maarssen;MAARSSEN;STICHTSE VECHT;Rooms-Katholiek
17IM00;Over Betuwe College;BEMMEL;LINGEWAARD;Rooms-Katholiek
17IM02;Over Betuwe College Huissen;HUISSEN;LINGEWAARD;Rooms-Katholiek
17IM04;Over Betuwe College junior;BEMMEL;LINGEWAARD;Rooms-Katholiek
17IM05;Over Betuwe College;ELST GLD;OVERBETUWE;Rooms-Katholiek
17IR00;Pax Christi College;DRUTEN;DRUTEN;Rooms-Katholiek
17JY00;Gymn Beekvliet;SINT-MICHIELSGESTEL;SINT-MICHIELSGESTEL;Rooms-Katholiek
17KF00;Van Maerlant;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Rooms-Katholiek
17KF02;Van Maerlant vakschool;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Rooms-Katholiek
17KY00;Roncalli MAVO;ROTTERDAM;ROTTERDAM;Rooms-Katholiek
17VN01;Bonhoeffer College Geessinkweg;ENSCHEDE;ENSCHEDE;Samenwerking PC, RK
17VN05;Bonhoeffer College vd Waalslaan;ENSCHEDE;ENSCHEDE;Samenwerking PC, RK
17VN06;Bonhoeffer College Bruggertstr;ENSCHEDE;ENSCHEDE;Samenwerking PC, RK
17VN07;Bonhoeffer College Vlierstr;ENSCHEDE;ENSCHEDE;Samenwerking PC, RK
17VN09;Bonhoeffer College, wet. Beversstr;ENSCHEDE;ENSCHEDE;Samenwerking PC, RK
17VP00;Peelland College;DEURNE;DEURNE;Rooms-Katholiek
17VP01;Alfrinkcollege;DEURNE;DEURNE;Rooms-Katholiek
17VP02;Hub van Doornecollege;DEURNE;DEURNE;Rooms-Katholiek
17VS00;Greijdanus College;ZWOLLE;ZWOLLE;Gereformeerd
17VS02;Greijdanus College;ENSCHEDE;ENSCHEDE;Gereformeerd
17VS03;Greijdanus College;HARDENBERG;HARDENBERG;Gereformeerd
17VS04;Greijdanus College;MEPPEL;MEPPEL;Gereformeerd
17WP00;Werkpl Kindergem Sch;BILTHOVEN;DE BILT;Algemeen bijzonder
17WQ00;Lentiz - Groen van Prinstererlyceum;VLAARDINGEN;VLAARDINGEN;Interconfessioneel
17WQ05;Lentiz - Geuzencollege;VLAARDINGEN;VLAARDINGEN;Interconfessioneel
17WQ06;Lentiz locatie Revius;MAASSLUIS;MAASSLUIS;Interconfessioneel
17WQ08;Lentiz VMBO Life College;SCHIEDAM;SCHIEDAM;Samenwerking PC, RK
17WQ11;Lentiz VMBO Maassluis;MAASSLUIS;MAASSLUIS;Interconfessioneel
17XU00;Heerenlanden College;LEERDAM;LEERDAM;Protestants-Christelijk
17XU01;Heerenlanden College vmbo;LEERDAM;LEERDAM;Protestants-Christelijk
17YF00;Zuiderpark College;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
17YF02;De Waal, YBS;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
18AN00;Globe College;UTRECHT;UTRECHT;Protestants-Christelijk
18CH00;Melanchthon;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
18CH02;Melanchthon Wilgenplaslaan;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
18CH03;Melanchthon Mavo Schiebroek;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
18CH04;Melanchthon Business School;BLEISWIJK;LANSINGERLAND;Protestants-Christelijk
18CH06;Melanchthon De Blesewic;BLEISWIJK;LANSINGERLAND;Protestants-Christelijk
18CH07;Melanchthon Bergschenhoek;BERGSCHENHOEK;LANSINGERLAND;Protestants-Christelijk
18CH09;Melanchthon Kralingen;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
18CH10;Melanchthon Mathenesse;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
18CH12;Melanchthon Berkroden;BERKEL EN RODENRIJS;LANSINGERLAND;Protestants-Christelijk
18CR00;Lyceum De Grundel;HENGELO OV;HENGELO;Rooms-Katholiek
18CR01;VMBO de Spindel Bataafse Kamp;HENGELO OV;HENGELO;Samenwerking PC, RK
18CR02;Avila College;HENGELO OV;HENGELO;Rooms-Katholiek
18CR08;VMBO de Spindel Paul Krugerstraat;HENGELO OV;HENGELO;Rooms-Katholiek
18DQ00;SGM Lelystad;LELYSTAD;LELYSTAD;Algemeen bijzonder
18GC00;SGM De Rietlanden;LELYSTAD;LELYSTAD;Algemeen bijzonder
18TR00;Gemini College;RIDDERKERK;RIDDERKERK;Openbaar
18TR01;Gemini Lekkerkerk;LEKKERKERK;KRIMPENERWAARD;Openbaar
18TR02;Walburg College Zwijndrecht;ZWIJNDRECHT;ZWIJNDRECHT;Openbaar
18TR03;Walburg College locatie Loket;ZWIJNDRECHT;ZWIJNDRECHT;Openbaar
18TR07;Dalton Barendrecht;BARENDRECHT;BARENDRECHT;Openbaar
18TR11;Dalton Focus Beroepsacademie;BARENDRECHT;BARENDRECHT;Openbaar
18WS00;Anna Van Ryn College;NIEUWEGEIN;NIEUWEGEIN;Openbaar
18WS01;Anna xmbo;NIEUWEGEIN;NIEUWEGEIN;Openbaar
18WS02;Anna Van Ryn College, Zuid;NIEUWEGEIN;NIEUWEGEIN;Openbaar
18XR00;Rythovius College;EERSEL;EERSEL;Rooms-Katholiek
18XU00;Beatrix College;TILBURG;TILBURG;Openbaar
18XU01;Beatrix College locatie Reeshof;TILBURG;TILBURG;Openbaar
18XX00;Berechja College;URK;URK;Protestants-Christelijk
19DH00;De Ring van Putten;SPIJKENISSE;NISSEWAARD;Openbaar
19EN00;Jan Tinbergen Coll., loc. Burg. Schneiderlaan;ROOSENDAAL;ROOSENDAAL;Openbaar
19EN02;Jan Tinbergen Coll., loc. Azaleastraat;ROOSENDAAL;ROOSENDAAL;Openbaar
19EW00;Lek en Linge vwo;CULEMBORG;CULEMBORG;Openbaar
19EW01;Lek en Linge vmbo;CULEMBORG;CULEMBORG;Openbaar
19EW03;Lek en Linge havo;CULEMBORG;CULEMBORG;Openbaar
19EW05;de Lingeborgh;GELDERMALSEN;GELDERMALSEN;Openbaar
19FF00;SGM De Waerdenborch;HOLTEN;RIJSSEN-HOLTEN;Openbaar
19FF04;SGM De Waerdenborch;GOOR;HOF VAN TWENTE;Openbaar
19GY00;Comenius College;CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;Protestants-Christelijk
19GY04;Comenius College Krimpen;KRIMPEN AAN DEN IJSSEL;KRIMPEN AAN DEN IJSSEL;Protestants-Christelijk
19GY05;Comenius College Rotterdam;ROTTERDAM;ROTTERDAM;Protestants-Christelijk
19GY06;Comenius College Nieuwerkerk;NIEUWERKERK AD IJSSEL;ZUIDPLAS;Protestants-Christelijk
19HG07;Twickel College;HENGELO OV;HENGELO;Rooms-Katholiek
19HG08;de Spindel, Europalaan;HENGELO OV;HENGELO;Rooms-Katholiek
19HG09;De Spindel, Bataafse Kamp;HENGELO OV;HENGELO;Rooms-Katholiek
19HG10;De Spindel, Krugerstraat;HENGELO OV;HENGELO;Rooms-Katholiek
19IP00;Rembrandt College;VEENENDAAL;VEENENDAAL;Openbaar
19IP01;Rembrandt College;RHENEN;RHENEN;Openbaar
19KM00;Mavo Schravenlant XL;SCHIEDAM;SCHIEDAM;Openbaar
19KZ00;Pallas Athene College;EDE GLD;EDE;Openbaar
19QA00;Koningin Wilhelmina College;CULEMBORG;CULEMBORG;Samenwerking PC, RK
19QA04;Koningin Wilhelmina College, vmbo;CULEMBORG;CULEMBORG;Samenwerking PC, RK
19RX00;Merletcollege, Grotestraat;CUIJK;CUIJK;Rooms-Katholiek
19RX01;Merletcollege;GRAVE;GRAVE;Rooms-Katholiek
19RX02;Merletcollege;MILL;MILL EN SINT HUBERT;Rooms-Katholiek
19RX03;Merletcollege, Robijnlaan;CUIJK;CUIJK;Rooms-Katholiek
19XH00;Het Hooghuis;OSS;OSS;Algemeen bijzonder
19XH01;Het Hooghuis locatie Stadion;OSS;OSS;Algemeen bijzonder
19XH02;Hooghuis Lyceum, Ravenstein;RAVENSTEIN;OSS;Algemeen bijzonder
19XH03;Hooghuis Lyceum;HEESCH;BERNHEZE;Algemeen bijzonder
19XH04;Hooghuis Lyceum, Zuid;OSS;OSS;Algemeen bijzonder
19XH05;Hooghuis Lyceum, West;OSS;OSS;Algemeen bijzonder
19XH07;Hooghuis Lyceum, Den Bongerd;OSS;OSS;Algemeen bijzonder
19XH09;Mondriaan;OSS;OSS;Algemeen bijzonder
19XV00;Prisma VO;BREDA;BREDA;Openbaar
19XV01;Graaf Engelbrecht;BREDA;BREDA;Openbaar
19XV02;De Rotonde vmbo;BREDA;BREDA;Openbaar
19ZP00;Maris College;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
19ZP03;Maris College - Kijkduin;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
19ZP04;Maris College - Statenkwartier;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
19ZP05;Maris College - Houtrust;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
19ZP06;Maric College - Waldeck;S-GRAVENHAGE;S GRAVENHAGE;Openbaar
19ZU00;Gem Gymn Camphusianum;GORINCHEM;GORINCHEM;Openbaar
20AB00;Grotius College;DELFT;DELFT;Openbaar
20AB06;Grotius College, SC Delfland;DELFT;DELFT;Openbaar
20AD00;Rietveld Lyceum;DOETINCHEM;DOETINCHEM;Openbaar
20AE00;Willem De Zwijger College;PAPENDRECHT;PAPENDRECHT;Openbaar
20AE01;Willem De Zwijger College;HARDINXVELD-GIESSENDAM;HARDINXVELD-GIESSENDAM;Openbaar
20AI00;Coornhert Gymnasium;GOUDA;GOUDA;Openbaar
20AJ00;Stedelijk Gymnasium;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Openbaar
20AM00;Farelcollege;RIDDERKERK;RIDDERKERK;Protestants-Christelijk
20AT00;Sint-Joriscollege;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
20AT01;Aloysius De Roosten;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
20AT03;Vakcollege Eindhoven;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
20AT07;Pleinschool Helder;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
20BC00;Oranje Nassau College;ZOETERMEER;ZOETERMEER;Protestants-Christelijk
20BC01;Oranje Nassau College Clauslaan;ZOETERMEER;ZOETERMEER;Protestants-Christelijk
20BH00;IJsselcollege Alkenlaan;CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;Openbaar
20BH01;IJsselcollege Kanaalweg;CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;Algemeen bijzonder
20BK00;Stedelijk College;EINDHOVEN;EINDHOVEN;Openbaar
20BK01;Stedelijk College Oude Bossche Baan;EINDHOVEN;EINDHOVEN;Openbaar
20BQ00;Mill-Hillcollege;GOIRLE;GOIRLE;Rooms-Katholiek
20CF00;Gymnasium Celeanum;ZWOLLE;ZWOLLE;Openbaar
20CI00;Stedelijk Gymnasium;NIJMEGEN;NIJMEGEN;Openbaar
20CJ00;Het Lyceum Vos;VLAARDINGEN;VLAARDINGEN;Openbaar
20CJ04;Het College Vos ;VLAARDINGEN;VLAARDINGEN;Openbaar
20CJ11;De Mavo Vos;VLAARDINGEN;VLAARDINGEN;Openbaar
20CK00;Johan van Oldenbarnevelt;AMERSFOORT;AMERSFOORT;Openbaar
20CP00;Nehalennia SSG, loc. Kruisweg;MIDDELBURG;MIDDELBURG;Openbaar
20CP04;Nehalennia SSG, loc. Breeweg;MIDDELBURG;MIDDELBURG;Openbaar
20CQ00;Rijswijks Lyceum;RIJSWIJK ZH;RIJSWIJK;Openbaar
20CQ01;Lyceum Ypenburg;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20CR00;Zuyderzee College;EMMELOORD;NOORDOOSTPOLDER;Openbaar
20CR01;Zuyderzee College, Vakcollege;EMMELOORD;NOORDOOSTPOLDER;Openbaar
20CS00;Bataafs Lyceum;HENGELO OV;HENGELO;Openbaar
20CS04;Gilde College;HENGELO OV;HENGELO;Openbaar
20CS07;Montessori College Twente;HENGELO OV;HENGELO;Openbaar
20DB00;Thorbecke SGM;ZWOLLE;ZWOLLE;Openbaar
20DB03;Thorbecke vmbo-pro;ZWOLLE;ZWOLLE;Openbaar
20DC00;Stedelijk;SCHIEDAM;SCHIEDAM;Openbaar
20DH00;Het Stedelijk, Isendoornstraat;ZUTPHEN;ZUTPHEN;Openbaar
20DH06;Het Stedelijk, Wijnhofstraat;ZUTPHEN;ZUTPHEN;Openbaar
20DH08;Het Stedelijk, Weerdslag;ZUTPHEN;ZUTPHEN;Openbaar
20EA00;De Amersfoortse Berg;AMERSFOORT;AMERSFOORT;Openbaar
20EI00;t Atrium;AMERSFOORT;AMERSFOORT;Openbaar
20EI01;VMBO Trivium College;AMERSFOORT;AMERSFOORT;Openbaar
20EI02;MAVO Trivium College;AMERSFOORT;AMERSFOORT;Openbaar
20EI03;Vathorst College;AMERSFOORT;AMERSFOORT;Openbaar
20EO00;Stedelijke SGM Nijmegen;NIJMEGEN;NIJMEGEN;Openbaar
20FR00;PENTA college;SPIJKENISSE;NISSEWAARD;Protestants-Christelijk
20FR02;PENTA Scala Rietvelden;SPIJKENISSE;NISSEWAARD;Protestants-Christelijk
20FR03;PENTA De Oude Maas;SPIJKENISSE;NISSEWAARD;Protestants-Christelijk
20FR04;PENTA Hoogvliet;HOOGVLIET ROTTERDAM;ROTTERDAM;Protestants-Christelijk
20FR06;PENTA Jacob van Liesveldt;HELLEVOETSLUIS;HELLEVOETSLUIS;Protestants-Christelijk
20FR07;PENTA Godfried Richter;ROZENBURG ZH;ROTTERDAM;Protestants-Christelijk
20FR08;PENTA Bahûrim;BRIELLE;BRIELLE;Protestants-Christelijk
20GA00;Van Maerlantlyceum;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
20GD00;Vakcollege Tilburg;TILBURG;TILBURG;Rooms-Katholiek
20GD01;Frater van Gemertschool;TILBURG;TILBURG;Rooms-Katholiek
20IB00;Eckartcollege;EINDHOVEN;EINDHOVEN;Samenwerking PC, RK
20IB03;Pleincollege Nuenen;NUENEN;NUENEN CA;Samenwerking PC, RK
20JX00;Vakcollege Helmond ;HELMOND;HELMOND;Rooms-Katholiek
20JX02;Carolus Borromeus College;HELMOND;HELMOND;Rooms-Katholiek
20JX04;Dr.-Knippenbergcollege;HELMOND;HELMOND;Rooms-Katholiek
20KQ00;Openbare SGM Apeldoorn;APELDOORN;APELDOORN;Openbaar
20KQ04;Edison College;APELDOORN;APELDOORN;Openbaar
20KZ00;Joh De Wittgymnasium;DORDRECHT;DORDRECHT;Openbaar
20LU00;Gymnasium Haganum;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MA00;SGM het Segbroekcollege, Klaverstraat;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MA01;SGM het Segbroekcollege, Goudsbloemlaan;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MD00;Maerlant Lyceum;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MF00;Dalton Den Haag;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MJ00;Johan de Witt Zusterstraat;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MJ02;Maris - Belgisch Park;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MJ05;Johan de Witt Hooftskade;'S-GRAVENHAGE;S GRAVENHAGE;Openbaar
20MM00;Zuid-West College;'S-GRAVENHAGE;S GRAVENHAGE;Algemeen bijzonder
20MM01;Wateringse Veld College;'S-GRAVENHAGE;S GRAVENHAGE;Algemeen bijzonder
20MM06;Roemer Visscher College;'S-GRAVENHAGE;S GRAVENHAGE;Algemeen bijzonder
20QU00;Gymnasium Apeldoorn;APELDOORN;APELDOORN;Openbaar
20RM00;Stedelijk Gymnasium Arnhem;ARNHEM;ARNHEM;Openbaar
20ST00;Sint-Janslyceum;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Rooms-Katholiek
20SY00;Jeroen Bosch College;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Rooms-Katholiek
20TZ00;Lorentz Lyceum;ARNHEM;ARNHEM;Openbaar
20TZ04;Het Westeraam;ELST GLD;OVERBETUWE;Openbaar
20TZ07;Maarten van Rossem;ARNHEM;ARNHEM;Openbaar
20TZ11;Lyceum Elst;ELST GLD;OVERBETUWE;Openbaar
20WI00;Het Maaslandcollege;OSS;OSS;Rooms-Katholiek
20ZK00;Da Vinci College;ROOSENDAAL;ROOSENDAAL;Rooms-Katholiek
20ZK02;Gertrudiscollege;ROOSENDAAL;ROOSENDAAL;Rooms-Katholiek
20ZK04;Norbertuscollege;ROOSENDAAL;ROOSENDAAL;Rooms-Katholiek
20ZK11;Gertrudiscollege Vincentius;ROOSENDAAL;ROOSENDAAL;Rooms-Katholiek
21CY03;Prinsentuin Oudenbosch vmbo;OUDENBOSCH;HALDERBERGE;Samenwerking PC, RK, Alg. Bijz
21CY05;Prinsentuin Andel vmbo;ANDEL;WOUDRICHEM;Samenwerking PC, RK, Alg. Bijz
21EX00;Theresialyceum;TILBURG;TILBURG;Rooms-Katholiek
21EX01;Theresialyceum, nevenvestiging Frater van Gemertschool ;TILBURG;TILBURG;Rooms-Katholiek
21FV00;Sint Odulphuslyceum;TILBURG;TILBURG;Rooms-Katholiek
21GU00;Edith Stein College;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
21GU04;Corbulo College;VOORBURG;LEIDSCHENDAM-VOORBURG;Samenwerking PC, RK
21GU06;Diamant College;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
21GU07;Montaigne Lyceum;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
21GU08;College St. Paul;'S-GRAVENHAGE;S GRAVENHAGE;Samenwerking PC, RK
21GV00;SG Were Di;VALKENSWAARD;VALKENSWAARD;Rooms-Katholiek
21GW01;Bonaventuracollege;ROELOFARENDSVEEN;KAAG EN BRAASSEM;Rooms-Katholiek
21GZ00;Cambreur College;DONGEN;DONGEN;Rooms-Katholiek
21GZ06;Hanze College;OOSTERHOUT NB;OOSTERHOUT;Rooms-Katholiek
21HC00;ISW Hoogeland Naaldwijk;NAALDWIJK;WESTLAND;Samenwerking PC, RK
21HC01;ISW Hoge Woerd Naaldwijk;NAALDWIJK;WESTLAND;Samenwerking PC, RK
21HC03;ISW Gasthuislaan 's Gravenzande;'S-GRAVENZANDE;WESTLAND;Samenwerking PC, RK
21HC04;ISW Irenestraat Poeldijk;POELDIJK;WESTLAND;Samenwerking PC, RK
21HC12;ISW Sweelincklaan 's-Gravenzande;'S-GRAVENZANDE;WESTLAND;Samenwerking PC, RK
21SK00;Mondial College, loc. Leuvensebroek;NIJMEGEN;NIJMEGEN;Openbaar
21SK01;Mondial College, loc. Meeuwsw Acker;NIJMEGEN;NIJMEGEN;Openbaar
22NE00;College De Heemlanden;HOUTEN;HOUTEN;Samenwerking PC, RK, Alg. Bijz
23AP00;MY college;SPIJKENISSE;NISSEWAARD;Openbaar
23FY00;Bossche Vakschool;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Samenwerking RK, Alg. Bijz.
23HC00;RSG Lingecollege, loc. Teisterbantlaan;TIEL;TIEL;Openbaar
23HC01;RSG Lingecollege, loc. Heiligestraat;TIEL;TIEL;Openbaar
23JA01;Grafisch Lyceum R'dam;ROTTERDAM;ROTTERDAM;Algemeen bijzonder
23VD00;Broeckland College Breukelen;BREUKELEN UT;STICHTSE VECHT;Protestants-Christelijk
23VL00;SGM Pieter Zandt;KAMPEN;KAMPEN;Reformatorisch
23VL02;SGM Pieter Zandt;URK;URK;Reformatorisch
23WU00;CSG Eekeringe;STEENWIJK;STEENWIJKERLAND;Samenwerking PC, RK
