"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Gymnasium Haganum";"S GRAVENHAGE";"Openbaar";817;"0";"0";"100";"-";"-";"-";"-";"96.3302752293578";"7.13394495412844";"6.28019323671498";"0"
"Haags Montessori Lyceum";"S GRAVENHAGE";"Algemeen bijzonder";628;"13.2165605095541";"42.3566878980892";"44.4267515923567";"96";"6.824";"76.0416666666667";"6.45";"83.9285714285714";"6.84821428571429";"5.81289736603088";"21.2534059945504"
"Heldring VMBO";"S GRAVENHAGE";"Samenwerking PC, RK";287;"100";"0";"0";"92.1985815602837";"6.39645390070922";"-";"-";"-";"-";"5.09554140127389";"5.73248407643312"
"Het Rijnlands Lyceum";"S GRAVENHAGE";"Algemeen bijzonder";92;"0";"59.7826086956522";"40.2173913043478";"-";"-";"100";"6.92";"100";"7.32";"7.53424657534247";"0"
"Hofstad lyceum";"S GRAVENHAGE";"Samenwerking PC, RK";632;"0";"50.6329113924051";"49.3670886075949";"-";"-";"82.8828828828829";"6.54414414414414";"82.3529411764706";"6.63823529411765";"7.26714431934493";"0.614124872057318"
"Hofstad mavo";"S GRAVENHAGE";"Samenwerking PC, RK";440;"86.5909090909091";"13.4090909090909";"0";"96.6386554621849";"6.47899159663866";"-";"-";"-";"-";"5.0561797752809";"6.92883895131086"
"Johan de Witt Hooftskade";"S GRAVENHAGE";"Openbaar";239;"100";"0";"0";"95.4545454545455";"6.53030303030303";"-";"-";"-";"-";"4.89510489510489";"2.7972027972028"
"Johan de Witt Scholengroep voor Vwo Havo Mavo Vmbo Pro Lwoo nieuwkomers";"S GRAVENHAGE";"Openbaar";48;"100";"0";"0";"100";"6.76875";"-";"-";"-";"-";"6.97674418604651";"2.32558139534884"
"Johan de Witt Scholengroep voor VwoHavo Mavo Vmbo Pro Lwoo Nieuwkomers";"S GRAVENHAGE";"Openbaar";281;"100";"0";"0";"100";"6.6";"-";"-";"-";"-";"0";"0"
"Johan de Witt Zusterstraat";"S GRAVENHAGE";"Openbaar";595;"57.4789915966387";"35.7983193277311";"6.72268907563025";"99.0476190476191";"6.55333333333333";"94.1176470588235";"6.36470588235294";"87.5";"6.5125";"4.79274611398964";"7.64248704663212"
"Lyceum Ypenburg";"S GRAVENHAGE";"Openbaar";1034;"20.2127659574468";"50.6769825918762";"29.110251450677";"98.2456140350877";"6.72982456140351";"90.1515151515152";"6.47045454545455";"93.0232558139535";"6.67906976744186";"6.80555555555556";"2.91666666666667"
"Lyceum Zandvliet";"S GRAVENHAGE";"Protestants-Christelijk";815;"0";"40.6134969325153";"59.3865030674847";"-";"-";"92";"6.65733333333333";"85.4166666666667";"6.78125";"8.0225988700565";"0.564971751412429"
"Maerlant Lyceum";"S GRAVENHAGE";"Openbaar";881;"0";"29.1713961407492";"70.8286038592508";"-";"-";"88.0952380952381";"6.68571428571429";"86.7088607594937";"6.66708860759494";"5.65134099616858";"1.0536398467433"
"Maric College - Waldeck";"S GRAVENHAGE";"Openbaar";105;"100";"0";"0";"100";"6.92909090909091";"-";"-";"-";"-";"2.89855072463768";"1.93236714975845"
"Maris - Belgisch Park";"S GRAVENHAGE";"Openbaar";387;"0";"53.7467700258398";"46.2532299741602";"-";"-";"97.6190476190476";"6.7";"91.304347826087";"6.71304347826087";"7.05521472392638";"0.766871165644172"
"Maris College";"S GRAVENHAGE";"Openbaar";273;"100";"0";"0";"99.2537313432836";"6.70149253731343";"-";"-";"-";"-";"1.84873949579832";"3.02521008403361"
"Maris College - Houtrust";"S GRAVENHAGE";"Openbaar";192;"100";"0";"0";"93.9759036144578";"6.56506024096385";"-";"-";"-";"-";"5.67375886524823";"10.1654846335697"
"Maris College - Kijkduin";"S GRAVENHAGE";"Openbaar";123;"100";"0";"0";"96.4912280701754";"6.62631578947368";"-";"-";"-";"-";"1.63934426229508";"0.819672131147541"
"Maris College - Statenkwartier";"S GRAVENHAGE";"Openbaar";99;"100";"0";"0";"100";"6.71388888888889";"-";"-";"-";"-";"3.7037037037037";"0.411522633744856"
"Montaigne Lyceum";"S GRAVENHAGE";"Samenwerking PC, RK";654;"28.2874617737003";"36.697247706422";"35.0152905198777";"96.7391304347826";"6.62934782608696";"90.4109589041096";"6.58493150684931";"92.8571428571429";"6.68333333333333";"4.20475319926874";"14.0767824497258"
"Roemer Visscher College";"S GRAVENHAGE";"Algemeen bijzonder";203;"100";"0";"0";"95.7264957264957";"6.52649572649573";"-";"-";"-";"-";"3.40136054421769";"2.04081632653061"
"SGM Dalton Vatel";"S GRAVENHAGE";"Algemeen bijzonder";195;"100";"0";"0";"92.156862745098";"6.60686274509804";"-";"-";"-";"-";"5.31177829099307";"2.77136258660508"
"SGM het Segbroekcollege, Goudsbloemlaan";"S GRAVENHAGE";"Openbaar";398;"100";"0";"0";"88.5542168674699";"6.38915662650602";"-";"-";"-";"-";"4.64396284829721";"13.6222910216718"
"SGM het Segbroekcollege, Klaverstraat";"S GRAVENHAGE";"Openbaar";1103;"0";"74.0707162284678";"25.9292837715322";"-";"-";"81.1320754716981";"6.42971698113208";"91.1111111111111";"6.65";"10.4838709677419";"8.80893300248139"
"Vrijzinnig-Christelijk Lyceum";"S GRAVENHAGE";"Algemeen bijzonder";725;"0";"26.8965517241379";"73.1034482758621";"-";"-";"90.4761904761905";"6.53968253968254";"92.8571428571429";"6.82142857142857";"4.81622306717364";"2.78833967046895"
"Wateringse Veld College";"S GRAVENHAGE";"Algemeen bijzonder";742;"25.6064690026954";"42.1832884097035";"32.2102425876011";"92.9824561403509";"6.47368421052632";"84.1463414634146";"6.55121951219512";"94.4444444444444";"6.83055555555556";"4.6535677352637";"4.03309203722854"
"Wellantcollege";"S GRAVENHAGE";"Algemeen bijzonder";157;"100";"0";"0";"100";"6.78571428571429";"-";"-";"-";"-";"7.19178082191781";"2.3972602739726"
"Wellantcollege Westvliet";"S GRAVENHAGE";"Algemeen bijzonder";259;"100";"0";"0";"94.1605839416058";"6.67226277372263";"-";"-";"-";"-";"3.51201478743068";"5.91497227356747"
"Zuid-West College";"S GRAVENHAGE";"Algemeen bijzonder";260;"100";"0";"0";"99.0740740740741";"6.65925925925926";"-";"-";"-";"-";"8.48484848484849";"2.82828282828283"
"Lentiz VMBO Life College";"SCHIEDAM";"Samenwerking PC, RK";364;"100";"0";"0";"98.1132075471698";"6.75786163522013";"-";"-";"-";"-";"1.05740181268882";"1.20845921450151"
"Lyceum Schravenlant";"SCHIEDAM";"Openbaar";586;"0";"69.9658703071672";"30.0341296928328";"-";"-";"82.8282828282828";"6.37979797979798";"95.8333333333333";"6.6875";"10.641627543036";"0.938967136150235"
"Mavo Schravenlant XL";"SCHIEDAM";"Openbaar";266;"100";"0";"0";"93.6507936507936";"6.33333333333333";"-";"-";"-";"-";"8.14393939393939";"2.65151515151515"
"SGM Spieringshoek";"SCHIEDAM";"Rooms-Katholiek";1125;"0";"65.3333333333333";"34.6666666666667";"-";"-";"86.7403314917127";"6.55801104972376";"89.8876404494382";"6.69101123595506";"7.82159017453135";"0.323206205559147"
"Stedelijk";"SCHIEDAM";"Openbaar";584;"0";"0";"100";"-";"-";"-";"-";"88.4615384615385";"6.61538461538461";"6.86767169179229";"0"
"De Mavo Vos";"VLAARDINGEN";"Openbaar";255;"100";"0";"0";"79.5275590551181";"6.21417322834646";"-";"-";"-";"-";"7.37327188940092";"7.6036866359447"
"Het College Vos ";"VLAARDINGEN";"Openbaar";217;"100";"0";"0";"93.4426229508197";"6.58524590163934";"-";"-";"-";"-";"4.82573726541555";"2.68096514745308"
"Het Lyceum Vos";"VLAARDINGEN";"Openbaar";274;"0";"64.2335766423358";"35.7664233576642";"-";"-";"85.5670103092783";"6.50103092783505";"76.1904761904762";"6.69523809523809";"28.2477341389728";"2.7190332326284"
"Lentiz - Geuzencollege";"VLAARDINGEN";"Samenwerking PC, RK";456;"100";"0";"0";"97.3451327433628";"6.6575221238938";"-";"-";"-";"-";"4.07701019252548";"1.13250283125708"
"Lentiz - Groen van Prinstererlyceum";"VLAARDINGEN";"Interconfessioneel";919;"24.3743199129489";"40.1523394994559";"35.4733405875952";"85.5263157894737";"6.425";"89.9082568807339";"6.51009174311927";"86.9565217391304";"6.39347826086957";"9.23379174852652";"2.35756385068762"
"St.- Jozefmavo";"VLAARDINGEN";"Rooms-Katholiek";841;"100";"0";"0";"95.7943925233645";"6.56495327102804";"-";"-";"-";"-";"5.26932084309133";"3.74707259953162"
"Het Rijnlands Lyceum";"WASSENAAR";"Algemeen bijzonder";720;"0";"17.3611111111111";"82.6388888888889";"-";"-";"100";"6.55806451612903";"92.5531914893617";"6.72553191489362";"5.19645120405577";"0.887198986058302"
"S. Adelbert College";"WASSENAAR";"Rooms-Katholiek";906;"23.841059602649";"33.7748344370861";"42.3841059602649";"96.4705882352941";"6.64235294117647";"93.1034482758621";"6.65632183908046";"88";"6.72266666666667";"4.21324161650903";"12.3817712811694"
"Floracollege";"WESTLAND";"Algemeen bijzonder";408;"100";"0";"0";"95.9090909090909";"6.77863636363636";"-";"-";"-";"-";"1.66468489892985";"0.832342449464923"
"ISW Gasthuislaan 's Gravenzande";"WESTLAND";"Samenwerking PC, RK";763;"0";"55.045871559633";"44.954128440367";"-";"-";"91.40625";"6.5640625";"95.9459459459459";"6.79324324324324";"4.11471321695761";"0.623441396508728"
"ISW Hoge Woerd Naaldwijk";"WESTLAND";"Samenwerking PC, RK";344;"100";"0";"0";"96.6507177033493";"6.65358851674641";"-";"-";"-";"-";"1.90930787589499";"0.238663484486874"
"ISW Hoogeland Naaldwijk";"WESTLAND";"Samenwerking PC, RK";1490;"17.9865771812081";"46.7114093959731";"35.3020134228188";"91.566265060241";"6.66506024096386";"90.2173913043478";"6.53369565217391";"91.5789473684211";"6.80947368421053";"4.43107221006565";"2.84463894967177"
"ISW Irenestraat Poeldijk";"WESTLAND";"Samenwerking PC, RK";257;"100";"0";"0";"97.1830985915493";"6.7169014084507";"-";"-";"-";"-";"2.4390243902439";"4.8780487804878"
"ISW Sweelincklaan 's-Gravenzande";"WESTLAND";"Samenwerking PC, RK";390;"100";"0";"0";"97.887323943662";"6.85704225352113";"-";"-";"-";"-";"1.48148148148148";"4.25925925925926"
"Lentiz Dalton mavo";"WESTLAND";"Algemeen bijzonder";388;"100";"0";"0";"92.1686746987952";"6.52409638554217";"-";"-";"-";"-";"2.02140309155767";"4.28061831153389"
"Erasmuscollege";"ZOETERMEER";"Algemeen bijzonder";982;"25.4582484725051";"35.5397148676171";"39.0020366598778";"97.9381443298969";"6.52680412371134";"88.1081081081081";"6.49621621621622";"95.7446808510638";"6.7563829787234";"7.35052111903456";"2.30389467910038"
"Oranje Nassau College";"ZOETERMEER";"Protestants-Christelijk";1287;"55.7886557886558";"39.3162393162393";"4.89510489510489";"92.258064516129";"6.52709677419355";"84.6153846153846";"6.6";"100";"6.92916666666667";"6.23946037099494";"7.25126475548061"
"Oranje Nassau College Clauslaan";"ZOETERMEER";"Protestants-Christelijk";613;"100";"0";"0";"93.7777777777778";"6.49022222222222";"-";"-";"-";"-";"6.21621621621622";"1.17117117117117"
"RK Alfrink College SGM";"ZOETERMEER";"Rooms-Katholiek";1074;"0";"35.0093109869646";"64.9906890130354";"-";"-";"84.5238095238095";"6.5625";"87.8048780487805";"6.74939024390244";"2.6811180832858";"0.798630918425556"
"SCZ - Picasso Lyceum";"ZOETERMEER";"Openbaar";673;"27.3402674591382";"34.6210995542348";"38.038632986627";"98.2300884955752";"6.58407079646018";"97.0149253731343";"6.52835820895522";"94";"6.832";"7.55711775043937";"3.86643233743409"
"Stedelijk College Zoetermeer";"ZOETERMEER";"Openbaar";205;"100";"0";"0";"91.7098445595855";"6.54870466321244";"-";"-";"-";"-";"4.11140583554377";"0.13262599469496"
"Comenius College Nieuwerkerk";"ZUIDPLAS";"Protestants-Christelijk";244;"39.7540983606557";"48.7704918032787";"11.4754098360656";"98.5507246376812";"6.40434782608696";"-";"-";"-";"-";"5.42452830188679";"15.8018867924528"
"Thorbecke VO";"ZUIDPLAS";"Openbaar";235;"88.936170212766";"11.063829787234";"0";"86.5853658536585";"6.4";"-";"-";"-";"-";"6.63265306122449";"11.2244897959184"
