BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
18XU;1;Beatrix College voor Mavo, Havo, Atheneum locatie Reeshof College;TILBURG;855;TILBURG;Noord-Brabant;422;13;15;6;3,08;3,55;1,42
18XX;0;Berechja College voor MAVO HAVO VBO;URK;184;URK;Flevoland;366;15;16;6;4,1;4,37;1,64
19DH;0;Openbare Scholengemeenschap De Ring voor Putten voor Ath Havo Mavo;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;1.502;126;46;118;8,39;3,06;7,86
19EN;0;Jan Tinbergen College Openbare Scholengemeenschap voor Ath Havo Mavo;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;1.263;88;63;108;6,97;4,99;8,55
19EN;2;Jan Tinbergen College Openbare Scholengemeenschap voor Ath Havo Mavo;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;296;20;0;14;6,76;0;4,73
19EO;0;"VMBO ""De Jutter"" Vlieland";VLIELAND;96;VLIELAND;Friesland;35;1;0;4;2,86;0;11,43
19EQ;0;Hartenlustsch voor Mavo;BLOEMENDAAL;377;BLOEMENDAAL;Noord-Holland;381;23;1;22;6,04;0,26;5,77
19ET;0;Gemeentelijke Scholengemeenschap t Schylger Jouw voor vmbo;MIDSLAND;93;TERSCHELLING;Friesland;134;2;1;12;1,49;0,75;8,96
19EW;0;Openbare Regionale Scholengemeenschap Lek en Linge voor atheneum havo vmbo lwoo;CULEMBORG;216;CULEMBORG;Gelderland;961;32;13;0;3,33;1,35;0
19EW;1;Openbare Regionale Schoolgemeenschap Lek en Linge voor vwo havo vmbo lwoo;CULEMBORG;216;CULEMBORG;Gelderland;565;15;16;15;2,65;2,83;2,65
19EW;3;Openbare Regionale Schoolgemeenschap Lek en Linge voor vwo havo vmbo lwoo;CULEMBORG;216;CULEMBORG;Gelderland;698;45;12;28;6,45;1,72;4,01
19EW;4;Openbare Regionale Schoolgemeenschap Lek en Linge voor vwo havo vmbo lwoo;CULEMBORG;216;CULEMBORG;Gelderland;518;3;9;25;0,58;1,74;4,83
19EW;5;O.R.S. Lek en Linge vestiging de Lingeborgh voor vwo havo vmbo lwoo;GELDERMALSEN;236;GELDERMALSEN;Gelderland;1.279;36;15;79;2,81;1,17;6,18
19FF;0;De Waerdenborch Scholengemeenschap voor Atheneum Havo Mavo Vbo;HOLTEN;1742;RIJSSEN-HOLTEN;Overijssel;1.866;90;86;48;4,82;4,61;2,57
19FF;4;De Waerdenborch Scholengemeenschap voor Ath Havo Mavo Vbo (Disl);GOOR;1735;HOF VAN TWENTE;Overijssel;401;10;33;17;2,49;8,23;4,24
19GY;0;Comenius College Chr. SGM voor vwo havo vmbo lwoo;CAPELLE AAN DEN IJSSEL;502;CAPELLE AAN DEN IJSSEL;Zuid-Holland;1.875;126;62;54;6,72;3,31;2,88
19GY;4;Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Krimpen;KRIMPEN AAN DEN IJSSEL;542;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;238;13;14;10;5,46;5,88;4,2
19GY;5;Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Rotterdam;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;307;10;25;12;3,26;8,14;3,91
