BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
20CS;0;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;HENGELO OV;164;HENGELO;Overijssel;906;40;46;2;4,42;5,08;0,22
20CS;4;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;HENGELO OV;164;HENGELO;Overijssel;318;22;13;18;6,92;4,09;5,66
20CS;7;OSG Hengelo voor LYC HAVO MAVO VBO LWOO;HENGELO OV;164;HENGELO;Overijssel;1.528;56;70;64;3,66;4,58;4,19
20DB;0;Thorbecke Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;ZWOLLE;193;ZWOLLE;Overijssel;1.811;44;74;113;2,43;4,09;6,24
20DB;3;Thorbecke Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;ZWOLLE;193;ZWOLLE;Overijssel;732;11;9;43;1,5;1,23;5,87
20DC;0;Stedelyk Gymnasium;SCHIEDAM;606;SCHIEDAM;Zuid-Holland;639;56;28;0;8,76;4,38;0
20DD;0;Gemeentelijk Gymnasium;HILVERSUM;402;HILVERSUM;Noord-Holland;827;179;2;0;21,64;0,24;0
20DD;2;Gemeentelijk Gymnasium;HILVERSUM;402;HILVERSUM;Noord-Holland;185;3;1;0;1,62;0,54;0
20DF;0;Da Vinci College Openbare Scholengemeenschap voor ATH HAVO MAVO VBO LWOO;LEIDEN;546;LEIDEN;Zuid-Holland;1.053;62;52;43;5,89;4,94;4,08
20DF;1;Da Vinci College Openbare Scholengemeenschap voor ATH HAVO MAVO VBO LWOO;LEIDEN;546;LEIDEN;Zuid-Holland;1.104;96;8;77;8,7;0,72;6,97
20DG;0;Gymnasium Felisenum;VELSEN-ZUID;453;VELSEN;Noord-Holland;661;50;9;0;7,56;1,36;0
20DH;0;Het Stedelijk, scholengroep voor openbaar Lyceum Havo Mavo Vbo Lwoo;ZUTPHEN;301;ZUTPHEN;Gelderland;725;37;22;41;5,1;3,03;5,66
20DH;6;Het Stedelijk, scholengroep voor openbaar Lyceum Havo Mavo Vbo Lwoo;ZUTPHEN;301;ZUTPHEN;Gelderland;262;9;1;1;3,44;0,38;0,38
20DH;8;Het Stedelijk, scholengroep voor openbaar Lyceum Havo Mavo Vbo Lwoo;ZUTPHEN;301;ZUTPHEN;Gelderland;63;1;0;2;1,59;0;3,17
20DL;0;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;1.005;133;48;5;13,23;4,78;0,5
20DL;1;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;KOLLUM;79;KOLLUMERLAND CA;Friesland;135;2;1;14;1,48;0,74;10,37
20DL;2;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;588;42;11;0;7,14;1,87;0
20DL;3;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;516;6;24;13;1,16;4,65;2,52
20DL;4;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;529;15;0;38;2,84;0;7,18
20DL;6;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;320;22;12;7;6,88;3,75;2,19
20DL;10;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;312;26;4;38;8,33;1,28;12,18
20DL;11;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;ST.-ANNAPAROCHIE;63;HET BILDT;Friesland;195;47;3;3;24,1;1,54;1,54
20DL;12;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;DOKKUM;58;DONGERADEEL;Friesland;223;7;1;21;3,14;0,45;9,42
20DL;13;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;11;6;0;0;54,55;0;0
20DL;16;Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo;LEEUWARDEN;80;LEEUWARDEN;Friesland;162;85;0;6;52,47;0;3,7
20DP;0;Stedelijk Gymnasium;LEIDEN;546;LEIDEN;Zuid-Holland;1.130;30;6;0;2,65;0,53;0
20EA;0;Openbaar lyceum De Amersfoortse Berg;AMERSFOORT;307;AMERSFOORT;Utrecht;1.327;72;38;232;5,43;2,86;17,48
20EI;0;Vallei College voor Ath Havo Mavo Vbo Lwoo;AMERSFOORT;307;AMERSFOORT;Utrecht;1.055;52;28;37;4,93;2,65;3,51
20EI;1;Vallei College voor Ath Havo Mavo Vbo Lwoo locatie VMBO Trivium College;AMERSFOORT;307;AMERSFOORT;Utrecht;353;72;1;1;20,4;0,28;0,28
20EI;2;Vallei College voor Ath Havo Mavo Vbo Lwoo locatie MAVO Trivium College;AMERSFOORT;307;AMERSFOORT;Utrecht;97;37;6;1;38,14;6,19;1,03
20EI;3;Vallei College voor Ath Havo Mavo Vbo Lwoo;AMERSFOORT;307;AMERSFOORT;Utrecht;963;76;1;172;7,89;0,1;17,86
20EK;0;Openbare Scholengemeenschap Vellesan College Ath Havo Mavo Vbo Lwoo;IJMUIDEN;453;VELSEN;Noord-Holland;1.229;114;23;24;9,28;1,87;1,95
20EK;4;Vellesan College loc Duin- en Kruidbergmavo;DRIEHUIS NH;453;VELSEN;Noord-Holland;283;9;4;22;3,18;1,41;7,77
20EM;0;H. N. Werkman College voor Ath Havo en Mavo;GRONINGEN;14;GRONINGEN;Groningen;1.388;74;49;51;5,33;3,53;3,67
20EM;1;H N Werkman College voor Ath Havo En Mavo;GRONINGEN;14;GRONINGEN;Groningen;13;3;0;0;23,08;0;0
20EM;3;H N Werkman College voor Ath Havo En Mavo;GRONINGEN;14;GRONINGEN;Groningen;456;91;18;29;19,96;3,95;6,36
20EM;4;H N Werkman College voor Ath Havo En Mavo;GRONINGEN;14;GRONINGEN;Groningen;615;26;10;35;4,23;1,63;5,69
20EO;0;Stedelijke Scholengemeenschap Nijmegen;NIJMEGEN;268;NIJMEGEN;Gelderland;1.382;118;15;184;8,54;1,09;13,31
20ER;0;Zernike College voor ATHENEUM HAVO MAVO VBO;GRONINGEN;14;GRONINGEN;Groningen;700;30;6;171;4,29;0,86;24,43
20ER;1;Zernike College voor Ath Havo Mavo Vbo;ZUIDLAREN;1730;TYNAARLO;Drenthe;442;15;26;63;3,39;5,88;14,25
20ER;4;Zernike College voor Ath Havo Mavo Vbo;HAREN GN;17;HAREN;Groningen;1.302;196;17;15;15,05;1,31;1,15
20ER;5;Zernike College voor Atheum Havo Mavo Vbo;HAREN GN;17;HAREN;Groningen;464;16;13;120;3,45;2,8;25,86
20ER;8;Zernike College voor ATHENEUM HAVO MAVO VBO;GRONINGEN;14;GRONINGEN;Groningen;251;10;6;8;3,98;2,39;3,19
20ER;9;Zernike College voor ATHENEUM HAVO MAVO VBO;GRONINGEN;14;GRONINGEN;Groningen;388;38;4;18;9,79;1,03;4,64
20EY;0;Scholengroep Krommenie;KROMMENIE;479;ZAANSTAD;Noord-Holland;1.132;55;85;17;4,86;7,51;1,5
20EY;7;Scholengroep Krommenie - locatie Trias VMBO;KROMMENIE;479;ZAANSTAD;Noord-Holland;1.825;50;7;58;2,74;0,38;3,18
20FC;0;Saenredam College voor MAVO VBO LWOO;ZAANDIJK;479;ZAANSTAD;Noord-Holland;855;33;4;36;3,86;0,47;4,21
20FR;0;PENTA college Chr. SGM voor gymnasium atheneum havo mavo vmbo lwoo;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;831;66;52;6;7,94;6,26;0,72
20FR;2;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Scala Rietvelden;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;1.085;114;61;21;10,51;5,62;1,94
20FR;3;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. De Oude Maas;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;878;34;23;14;3,87;2,62;1,59
20FR;4;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Hoogvliet;HOOGVLIET ROTTERDAM;599;ROTTERDAM;Zuid-Holland;443;8;31;7;1,81;7;1,58
20FR;6;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. J. van Liesveldt;HELLEVOETSLUIS;530;HELLEVOETSLUIS;Zuid-Holland;1.515;128;76;38;8,45;5,02;2,51
20FR;7;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Godfried Richter;ROZENBURG ZH;599;ROTTERDAM;Zuid-Holland;180;2;17;9;1,11;9,44;5
20FR;8;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Bah–rim;BRIELLE;501;BRIELLE;Zuid-Holland;309;3;8;30;0,97;2,59;9,71
20GA;0;Van Maerlantlyceum;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.219;81;11;21;6,64;0,9;1,72
20GD;0;Vakcollege Tilburg, katholieke scholengemeenschap voor vbo en mavo, lwoo;TILBURG;855;TILBURG;Noord-Brabant;227;11;6;4;4,85;2,64;1,76
20GD;1;Vakcollege Tilburg kath sgm voor vbo en mavo, lwoo, vst. Frater van Gemertschool;TILBURG;855;TILBURG;Noord-Brabant;232;17;4;9;7,33;1,72;3,88
20GS;0;Don Bosco College Atheneum Havo Vmbo Lwoo;VOLENDAM;385;EDAM-VOLENDAM;Noord-Holland;1.770;80;49;67;4,52;2,77;3,79
20IB;0;Eckartcollege voor Lyc Havo Mavo Vbo Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.712;85;28;238;4,96;1,64;13,9
20IB;3;"Eckartcollege; Pleincollege Nuenen voor LYc Havo Mavo Vbo Lwoo";NUENEN;820;NUENEN CA;Noord-Brabant;692;11;5;8;1,59;0,72;1,16
20IS;0;Stella Maris College voor Lyc Havo Mavo Vbo Lwoo;MEERSSEN;938;MEERSSEN;Limburg;1.372;114;47;56;8,31;3,43;4,08
20IS;4;Stella Maris Coll Rk Sgm V Lyc Havo Mavo Vbo;VALKENBURG LB;994;VALKENBURG AAN DE GEUL;Limburg;535;5;32;26;0,93;5,98;4,86
20IS;6;Stella Maris College voor Lyc Havo Mavo Vbo Lwoo;MAASTRICHT;935;MAASTRICHT;Limburg;7;0;0;2;0;0;28,57
20JX;0;OMO Scholengroep Helmond;HELMOND;794;HELMOND;Noord-Brabant;441;20;7;8;4,54;1,59;1,81
20JX;2;OMO Scholengroep Helmond;HELMOND;794;HELMOND;Noord-Brabant;1.296;58;41;61;4,48;3,16;4,71
20JX;4;OMO Scholengroep Helmond;HELMOND;794;HELMOND;Noord-Brabant;1.714;78;44;82;4,55;2,57;4,78
20JX;6;OMO Scholengroep Helmond;HELMOND;794;HELMOND;Noord-Brabant;215;10;6;30;4,65;2,79;13,95
20KA;0;Scholengemeenschap Groenewald voor Vmbo Havo VWO;STEIN LB;971;STEIN;Limburg;1.466;66;24;170;4,5;1,64;11,6
20KQ;0;Openbare Scholengemeenschap Apeldoorn;APELDOORN;200;APELDOORN;Gelderland;1.224;61;39;37;4,98;3,19;3,02
20KQ;4;Openbare Scholengemeenschap Apeldoorn;APELDOORN;200;APELDOORN;Gelderland;821;35;9;36;4,26;1,1;4,38
20KZ;0;Joh De Wittgymnasium;DORDRECHT;505;DORDRECHT;Zuid-Holland;813;50;12;0;6,15;1,48;0
20LA;0;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;EMMEN;114;EMMEN;Drenthe;1.056;84;58;22;7,95;5,49;2,08
20LA;2;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;KLAZIENAVEEN;114;EMMEN;Drenthe;476;10;4;10;2,1;0,84;2,1
20LA;3;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;EMMEN;114;EMMEN;Drenthe;530;22;0;36;4,15;0;6,79
20LA;5;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;EMMEN;114;EMMEN;Drenthe;364;19;4;1;5,22;1,1;0,27
20LA;6;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;OOSTERHESSELEN;109;COEVORDEN;Drenthe;214;20;0;8;9,35;0;3,74
20LA;7;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;BORGER;1681;BORGER-ODOORN;Drenthe;236;8;11;7;3,39;4,66;2,97
20LA;15;Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College;EMMEN;114;EMMEN;Drenthe;345;31;2;0;8,99;0,58;0
20LL;0;Bouwens van der Boije College voor Lyceum Havo Mavo Lwoo Vbo;PANNINGEN;1894;PEEL EN MAAS;Limburg;1.473;71;23;110;4,82;1,56;7,47
20LL;2;Bouwens van der Boije College voor Lyceum Havo Mavo Lwoo Vbo;PANNINGEN;1894;PEEL EN MAAS;Limburg;274;7;2;22;2,55;0,73;8,03
20LO;0;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;ASSEN;106;ASSEN;Drenthe;1.597;120;36;148;7,51;2,25;9,27
20LO;1;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;NORG;1699;NOORDENVELD;Drenthe;237;7;8;29;2,95;3,38;12,24
20LO;2;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;240;8;12;23;3,33;5;9,58
20LO;3;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;GIETEN;1680;AA EN HUNZE;Drenthe;318;5;6;35;1,57;1,89;11,01
20LO;4;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;ASSEN;106;ASSEN;Drenthe;865;33;11;20;3,82;1,27;2,31
20LU;0;Gymnasium Haganum;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;762;30;3;0;3,94;0,39;0
20MA;0;Scholengemeenschap het Segbroekcollege Vwo Havo Mavo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;1.552;74;17;204;4,77;1,1;13,14
20MA;1;Scholengemeenschap het Segbroekcollege Vwo Havo Mavo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;787;17;4;143;2,16;0,51;18,17
20MD;0;Maerlant Lyceum met Afdeling Havo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;962;37;15;10;3,85;1,56;1,04
20MF;0;Dalton Den Haag gymnasium atheneum havo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;997;37;20;21;3,71;2,01;2,11
20MH;0;Jac P Thijsse College voor Vwo Havo Mavo;CASTRICUM;383;CASTRICUM;Noord-Holland;2.143;64;28;357;2,99;1,31;16,66
20MJ;0;Johan de Witt Scholengroep voor Vwo Havo Mavo Vmbo Pro Lwoo nieuwkomers;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;761;37;7;68;4,86;0,92;8,94
20MJ;2;Johan de Witt Scholengr voor Vwo Havo Mavo Vmbo Pro Lwoo loc Maris Belgisch Park;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;457;38;12;26;8,32;2,63;5,69
20MJ;4;Johan de Witt Scholengroep voor VwoHavo Mavo Vmbo Pro Lwoo Nieuwkomers;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;68;2;0;2;2,94;0;2,94
20MJ;5;Johan de Witt Scholengroep voor Vwo Havo Mavo Vmbo Pro Lwoo Nieuwkomers;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;272;17;2;9;6,25;0,74;3,31
20MJ;12;Johan de Witt Scholengroep voor Vwo Havo Mavo Vmbo Pro Lwoo nieuwkomers;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;290;27;0;32;9,31;0;11,03
20MM;0;Stichting Scholengroep Den Haag Zuid-West;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;446;19;8;35;4,26;1,79;7,85
20MM;1;Stichting Scholengroep Den Haag Zuid-West;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;1.011;77;57;32;7,62;5,64;3,17
20MM;6;Stichting Scholengroep Den Haag Zuid-West;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;465;13;12;8;2,8;2,58;1,72
20QU;0;Gymnasium Apeldoorn;APELDOORN;200;APELDOORN;Gelderland;649;28;6;0;4,31;0,92;0
20QY;0;Stedelijk Gymnasium;HAARLEM;392;HAARLEM;Noord-Holland;831;31;1;0;3,73;0,12;0
20RC;0;Gem Schoter Scholengemeenschap voor Atheneum Havo en Mavo;HAARLEM;392;HAARLEM;Noord-Holland;1.022;52;43;80;5,09;4,21;7,83
20RF;0;Coornhertlyc Gem Scholengemeenschap Lyceum Havo Mavo;HAARLEM;392;HAARLEM;Noord-Holland;1.797;110;62;71;6,12;3,45;3,95
20RM;0;Stedelijk Gymnasium Arnhem;ARNHEM;202;ARNHEM;Gelderland;1.116;44;5;0;3,94;0,45;0
20ST;0;Sint-Janslyceum School voor Gymnasium Atheneum Havo en Mavo;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;2.333;131;63;119;5,62;2,7;5,1
20SY;0;Jeroen Bosch College Scholengemeenschap voor Vwo Havo en Mavo;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;1.031;46;15;161;4,46;1,45;15,62
20TZ;0;Lorentz Groep;ARNHEM;202;ARNHEM;Gelderland;1.060;86;46;40;8,11;4,34;3,77
20TZ;4;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;313;10;4;5;3,19;1,28;1,6
20TZ;7;Lorentz Groep vestiging Maarten van Rossem;ARNHEM;202;ARNHEM;Gelderland;547;48;5;2;8,78;0,91;0,37
20TZ;11;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;629;31;10;31;4,93;1,59;4,93
20WI;0;Maaslandcollege Scholengemeenschap voor Mavo Havo Vwo;OSS;828;OSS;Noord-Brabant;1.863;67;39;111;3,6;2,09;5,96
20ZK;0;OMO sg Tongerlo voor LYC HAVO VMBO LWOO PRO;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;362;9;0;1;2,49;0;0,28
20ZK;2;OMO SG Tongerlo voor LYC HAVO VMBO LWOO PRO;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;1.036;42;34;33;4,05;3,28;3,19
20ZK;3;OMO Scholengemeenschap Tongerlo;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;190;6;5;1;3,16;2,63;0,53
20ZK;4;OMO sg Tongerlo voor LYC HAVO MAVO VMBO LWOO PRO;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;1.217;78;26;6;6,41;2,14;0,49
20ZK;11;OMO sg Tongerlo voor LYC HAVO VMBO LWOO PRO;ROOSENDAAL;1674;ROOSENDAAL;Noord-Brabant;344;21;7;23;6,1;2,03;6,69
21AB;0;Barlaeus Gymnasium;AMSTERDAM;363;AMSTERDAM;Noord-Holland;829;32;0;0;3,86;0;0
21AF;0;Vossius Gymnasium;AMSTERDAM;363;AMSTERDAM;Noord-Holland;831;38;3;0;4,57;0,36;0
21AS;0;Voorgezet Onderwijs van Amsterdam voor Lyceum Havo Mavo Vbo en Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;473;37;17;4;7,82;3,59;0,85
21AS;3;Voortgezet Onderwijs van Amsterdam voor Lyceum Havo Mavo Vbo en Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;345;16;14;12;4,64;4,06;3,48
21AS;7;Voortgezet Onderwijs van Amsterdam voor Lyceum Havo Mavo Vbo en Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;323;16;4;13;4,95;1,24;4,02
21AS;8;Voortgezet Onderwijs van Amsterdam voor Lyceum Havo Mavo Vbo en Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;636;35;5;0;5,5;0,79;0
21BH;0;Dalton Scholengemeenschap Spinozalyceum voor Vwo Havo Mavo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1.268;66;11;215;5,21;0,87;16,96
21CS;1;CITAVERDE College;HEGELSOM;1507;HORST AAN DE MAAS;Limburg;485;7;0;31;1,44;0;6,39
21CS;2;CITAVERDE College;ROERMOND;957;ROERMOND;Limburg;414;18;0;48;4,35;0;11,59
21CS;3;CITAVERDE College;HEERLEN;917;HEERLEN;Limburg;598;20;2;56;3,34;0,33;9,36
21CS;5;CITAVERDE College;NEDERWEERT;946;NEDERWEERT;Limburg;314;14;1;78;4,46;0,32;24,84
21CY;3;AOC West Brabant, vestiging Prinsentuin Oudenbosch vmbo;OUDENBOSCH;1655;HALDERBERGE;Noord-Brabant;449;4;12;20;0,89;2,67;4,45
21CY;5;AOC West Brabant, vestiging Prinsentuin Andel vmbo;ANDEL;874;WOUDRICHEM;Noord-Brabant;774;10;18;28;1,29;2,33;3,62
21ET;0;Scholengemeenschap ZAAM zuid voor Vwo Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;896;72;21;17;8,04;2,34;1,9
21ET;2;Scholengemeenschap ZAAM Zuid voor Vwo Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;592;69;8;44;11,66;1,35;7,43
21ET;4;Scholengemeenschap ZAAM Zuid voor Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;482;19;5;22;3,94;1,04;4,56
21ET;7;Scholengemeenschap ZAAM Zuid voor Vwo Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;402;11;9;12;2,74;2,24;2,99
21ET;8;Scholengemeenschap ZAAM Zuid voor Vwo Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;242;13;8;5;5,37;3,31;2,07
21ET;12;Scholengemeenschap Amsterdam-Zuid voor Atheneum Havo Mavo Vbo Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;73;8;2;8;10,96;2,74;10,96
21EX;0;Theresialyceum voor gymnasium atheneum en havo;TILBURG;855;TILBURG;Noord-Brabant;1.431;94;25;8;6,57;1,75;0,56
21EX;1;Theresialyceum voor gymnasium atheneum en havo;TILBURG;855;TILBURG;Noord-Brabant;47;1;7;0;2,13;14,89;0
21FF;0;Scholengemeenschap Reigersbos Atheneum Havo Mavo Leao;AMSTERDAM;363;AMSTERDAM;Noord-Holland;840;77;23;38;9,17;2,74;4,52
21FV;0;Sint Odulphuslyceum Scholengemeenschap voor VWO en HAVO;TILBURG;855;TILBURG;Noord-Brabant;1.210;76;36;5;6,28;2,98;0,41
21GD;0;Calandlyceum voor Gymnasium Atheneum Havo Vmbo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1.912;148;52;204;7,74;2,72;10,67
21GD;1;Calandlyceum voor Gymnasium Atheneum Havo Vmbo locatie,  Lumion;AMSTERDAM;363;AMSTERDAM;Noord-Holland;554;42;13;45;7,58;2,35;8,12
21GU;0;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;842;98;34;86;11,64;4,04;10,21
21GU;4;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Zuid-Holland;231;10;5;3;4,33;2,16;1,3
21GU;6;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;364;47;5;26;12,91;1,37;7,14
21GU;7;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;1.017;67;10;150;6,59;0,98;14,75
21GU;8;Scholengroep Esloo PC RK Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;288;8;1;3;2,78;0,35;1,04
21GV;0;Scholengemeenschap Were Di voor Lyc Havo Mavo Vbo Lwoo;VALKENSWAARD;858;VALKENSWAARD;Noord-Brabant;2.517;100;82;103;3,97;3,26;4,09
21GW;0;Bonaventuracollege SGM voor Gym. Ath. Havo Vmbo;LEIDEN;546;LEIDEN;Zuid-Holland;1.001;52;22;213;5,19;2,2;21,28
21GW;1;Bonaventuracollege SGM voor Gym. Ath. Havo. Vmbo;ROELOFARENDSVEEN;1884;KAAG EN BRAASSEM;Zuid-Holland;322;12;19;48;3,73;5,9;14,91
21GW;2;Bonaventuracollege SGM voor Gym. Ath. Havo. Vmbo;LEIDEN;546;LEIDEN;Zuid-Holland;1.022;81;40;179;7,93;3,91;17,51
21GW;3;Bonaventuracollege SGM voor Gym. Ath. Havo. Vmbo;LEIDEN;546;LEIDEN;Zuid-Holland;350;35;5;14;10;1,43;4
21GZ;0;Kwadrant Scholengroep  RK Regionale Scholengemeenschap voor Vwo Havo en Vmbo;DONGEN;766;DONGEN;Noord-Brabant;1.339;93;21;45;6,95;1,57;3,36
21GZ;6;Kwadrant Scholengroep RK Regionale Scholengemeenschap voor VWO HAVO en VMBO;OOSTERHOUT NB;826;OOSTERHOUT;Noord-Brabant;393;7;51;13;1,78;12,98;3,31
21HC;0;Interconfessionele Scholengroep Westland voor Lyceum Havo Mavo Vbo Lwoo;NAALDWIJK;1783;WESTLAND;Zuid-Holland;1.789;62;72;48;3,47;4,02;2,68
21HC;1;Interconfessionele Scholengroep Westland voor Lyc Havo Mavo Vbo Lwoo;NAALDWIJK;1783;WESTLAND;Zuid-Holland;434;5;2;4;1,15;0,46;0,92
21HC;3;Interconfessionele Scholengroep Westland voor Lyc Havo Mavo Vbo Lwoo;'S-GRAVENZANDE;1783;WESTLAND;Zuid-Holland;833;59;43;2;7,08;5,16;0,24
21HC;4;Interconfessionele Scholengroep Westland voor Lyc Havo Mavo Vbo Lwoo;POELDIJK;1783;WESTLAND;Zuid-Holland;406;15;17;16;3,69;4,19;3,94
21HC;5;Interconfessionele Scholengroep Westland voor Lyc Havo Mavo Vbo Lwoo;MONSTER;1783;WESTLAND;Zuid-Holland;209;4;21;1;1,91;10,05;0,48
21HC;8;Interconfessionele Scholengroep Westland voor Lyc Havo Mavo Vbo Lwoo;NAALDWIJK;1783;WESTLAND;Zuid-Holland;186;1;0;0;0,54;0;0
21HC;12;Interconfessionele Scholengroep Westland voor Lyceum Havo Mavo Vbo Lwoo;'S-GRAVENZANDE;1783;WESTLAND;Zuid-Holland;601;12;28;28;2;4,66;4,66
21SK;0;Mondial College;NIJMEGEN;268;NIJMEGEN;Gelderland;819;45;15;37;5,49;1,83;4,52
